hidden_layers,hidden_units,dropout_rate,lr,n_epochs,train_auc,test_auc
3,32,0.3,0.001,30,0.5310647076244661,0.5304594202103756
2,32,0.3,0.001,30,0.5337354469589012,0.528439223670546
1,32,0.3,0.001,30,0.5336156209651407,0.5282576169749729
1,128,0.3,0.001,30,0.5356768516846385,0.5282425509726577
3,128,0.3,0.001,30,0.5321866143503323,0.5280392098918376
1,64,0.3,0.001,30,0.5352634184142678,0.5276517871903721
2,64,0.3,0.001,30,0.5348685890173662,0.5275630823554592
3,128,0.0,0.001,30,0.53259845220507,0.5274886895091683
1,64,0.0,0.001,30,0.5398061998614838,0.5271570614424209
1,32,0.0,0.001,30,0.5388510941924799,0.5270282440304569
3,32,0.0,0.001,30,0.5405523465098387,0.5266091920006387
2,128,0.3,0.001,30,0.5307393171736521,0.5265832570217561
1,128,0.0,0.001,30,0.5400833102718178,0.5257482748642414
3,64,0.3,0.001,30,0.532337540376669,0.5250333592783816
2,64,0.0,0.001,30,0.5409709051377088,0.5245904499698737
3,64,0.0,0.001,30,0.5320356803449227,0.5242651882048625
2,128,0.0,0.001,30,0.5385471843368969,0.5240573373134346
2,32,0.0,0.001,30,0.5405663112173192,0.5230753855184006
