"source_variable","group","max_selection_proportion","selected"
"diet_score","exposure",0.95,TRUE
"household_income","exposure",0.93,TRUE
"salt_added","exposure",0.89,TRUE
"smoking_status_refined","exposure",0.79,TRUE
"highest_qualification","exposure",0.78,TRUE
"no2_2010","exposure",0.76,TRUE
"met_min_week_all","exposure",0.75,TRUE
"insomnia","exposure",0.64,FALSE
"maternal_smoking_birth","exposure",0.62,FALSE
"passive_total_hrs","exposure",0.62,FALSE
"employment","exposure",0.55,FALSE
"pm2.5_2010","exposure",0.55,FALSE
"pm10_2010","exposure",0.51,FALSE
"sleep_hrs","exposure",0.51,FALSE
"household_size","exposure",0.5,FALSE
"urban_rural_3lvl","exposure",0.5,FALSE
"pack_yrs","exposure",0.41,FALSE
"alcohol_consumption","exposure",0.35,FALSE
"neuroticism_score","exposure",0.29,FALSE
"housing","exposure",0.27,FALSE
"comparative_body_size_10","exposure",0.23,FALSE
"mh_sought_help","exposure",0.2,FALSE
"birth_weight","exposure",0.17,FALSE
"breastfed","exposure",0.16,FALSE
"work_job_satisfaction_num","exposure",0.12,FALSE
