"feature","selection_proportion"
"household_income18-31k",0.32
"household_income31-52k",0.93
"household_income52-100k",0.45
"household_income>100k",0.23
"highest_qualificationCSEs",0.26
"highest_qualificationO-levels/GCSEs",0.32
"highest_qualificationProfessional (nursing/teaching)",0.78
"highest_qualificationVocational (NVQ/HND/HNC)",0.15
"highest_qualificationA-levels",0.3
"highest_qualificationUniversity degree",0.28
"employmentRetired",0.55
"employmentOther economically inactive",0.34
"employmentUnemployed",0.44
"employmentUnable to work",0.25
"housingRenter",0.19
"housingOther",0.27
"household_size2 people",0.5
"household_size3-5 people",0.5
"household_size6+ people",0.06
"diet_score",0.95
"alcohol_consumptionFormer drinker",0.18
"alcohol_consumptionSocial drinker",0.35
"alcohol_consumptionModerate drinker",0.17
"alcohol_consumptionDaily drinker",0.2
"salt_addedSometimes",0.25
"salt_addedUsually",0.89
"salt_addedAlways",0.47
"sleep_hrs",0.51
"insomniaSometimes",0.64
"insomniaUsually",0.26
"smoking_status_refinedFormer_Recent",0.79
"smoking_status_refinedFormer_Long",0.49
"smoking_status_refinedCurrent",0.13
"pack_yrs",0.41
"passive_total_hrs",0.62
"met_min_week_all",0.75
"mh_sought_helpYes",0.2
"work_job_satisfaction_num",0.12
"neuroticism_score",0.29
"breastfedYes",0.16
"comparative_body_size_10About average",0.2
"comparative_body_size_10Plumper",0.23
"maternal_smoking_birthYes",0.62
"birth_weight",0.17
"no2_2010",0.76
"pm2.5_2010",0.55
"pm10_2010",0.51
"urban_rural_3lvlTown",0.5
"urban_rural_3lvlRural",0.23
