"feature","selection_proportion","selected","source_variable","group"
"diet_score",0.95,TRUE,"diet_score","exposure"
"household_income31-52k",0.93,TRUE,"household_income","exposure"
"salt_addedUsually",0.89,TRUE,"salt_added","exposure"
"smoking_status_refinedFormer_Recent",0.79,TRUE,"smoking_status_refined","exposure"
"highest_qualificationProfessional (nursing/teaching)",0.78,TRUE,"highest_qualification","exposure"
"no2_2010",0.76,TRUE,"no2_2010","exposure"
"met_min_week_all",0.75,TRUE,"met_min_week_all","exposure"
"insomniaSometimes",0.64,FALSE,"insomnia","exposure"
"maternal_smoking_birthYes",0.62,FALSE,"maternal_smoking_birth","exposure"
"passive_total_hrs",0.62,FALSE,"passive_total_hrs","exposure"
"employmentRetired",0.55,FALSE,"employment","exposure"
"pm2.5_2010",0.55,FALSE,"pm2.5_2010","exposure"
"pm10_2010",0.51,FALSE,"pm10_2010","exposure"
"sleep_hrs",0.51,FALSE,"sleep_hrs","exposure"
"household_size2 people",0.5,FALSE,"household_size","exposure"
"household_size3-5 people",0.5,FALSE,"household_size","exposure"
"urban_rural_3lvlTown",0.5,FALSE,"urban_rural_3lvl","exposure"
"smoking_status_refinedFormer_Long",0.49,FALSE,"smoking_status_refined","exposure"
"salt_addedAlways",0.47,FALSE,"salt_added","exposure"
"household_income52-100k",0.45,FALSE,"household_income","exposure"
"employmentUnemployed",0.44,FALSE,"employment","exposure"
"pack_yrs",0.41,FALSE,"pack_yrs","exposure"
"alcohol_consumptionSocial drinker",0.35,FALSE,"alcohol_consumption","exposure"
"employmentOther economically inactive",0.34,FALSE,"employment","exposure"
"highest_qualificationO-levels/GCSEs",0.32,FALSE,"highest_qualification","exposure"
"household_income18-31k",0.32,FALSE,"household_income","exposure"
"highest_qualificationA-levels",0.3,FALSE,"highest_qualification","exposure"
"neuroticism_score",0.29,FALSE,"neuroticism_score","exposure"
"highest_qualificationUniversity degree",0.28,FALSE,"highest_qualification","exposure"
"housingOther",0.27,FALSE,"housing","exposure"
"highest_qualificationCSEs",0.26,FALSE,"highest_qualification","exposure"
"insomniaUsually",0.26,FALSE,"insomnia","exposure"
"employmentUnable to work",0.25,FALSE,"employment","exposure"
"salt_addedSometimes",0.25,FALSE,"salt_added","exposure"
"comparative_body_size_10Plumper",0.23,FALSE,"comparative_body_size_10","exposure"
"household_income>100k",0.23,FALSE,"household_income","exposure"
"urban_rural_3lvlRural",0.23,FALSE,"urban_rural_3lvl","exposure"
"alcohol_consumptionDaily drinker",0.2,FALSE,"alcohol_consumption","exposure"
"comparative_body_size_10About average",0.2,FALSE,"comparative_body_size_10","exposure"
"mh_sought_helpYes",0.2,FALSE,"mh_sought_help","exposure"
"housingRenter",0.19,FALSE,"housing","exposure"
"alcohol_consumptionFormer drinker",0.18,FALSE,"alcohol_consumption","exposure"
"alcohol_consumptionModerate drinker",0.17,FALSE,"alcohol_consumption","exposure"
"birth_weight",0.17,FALSE,"birth_weight","exposure"
"breastfedYes",0.16,FALSE,"breastfed","exposure"
"highest_qualificationVocational (NVQ/HND/HNC)",0.15,FALSE,"highest_qualification","exposure"
"smoking_status_refinedCurrent",0.13,FALSE,"smoking_status_refined","exposure"
"work_job_satisfaction_num",0.12,FALSE,"work_job_satisfaction_num","exposure"
"household_size6+ people",0.06,FALSE,"household_size","exposure"
