"household_income18-31k","household_income31-52k","household_income52-100k","household_income>100k","highest_qualificationCSEs","highest_qualificationO-levels/GCSEs","highest_qualificationProfessional (nursing/teaching)","highest_qualificationVocational (NVQ/HND/HNC)","highest_qualificationA-levels","highest_qualificationUniversity degree","employmentRetired","employmentOther economically inactive","employmentUnemployed","employmentUnable to work","housingRenter","housingOther","household_size2 people","household_size3-5 people","household_size6+ people","diet_score","alcohol_consumptionFormer drinker","alcohol_consumptionSocial drinker","alcohol_consumptionModerate drinker","alcohol_consumptionDaily drinker","salt_addedSometimes","salt_addedUsually","salt_addedAlways","sleep_hrs","insomniaSometimes","insomniaUsually","smoking_status_refinedFormer_Recent","smoking_status_refinedFormer_Long","smoking_status_refinedCurrent","pack_yrs","passive_total_hrs","met_min_week_all","mh_sought_helpYes","work_job_satisfaction_num","neuroticism_score","breastfedYes","comparative_body_size_10About average","comparative_body_size_10Plumper","maternal_smoking_birthYes","birth_weight","no2_2010","pm2.5_2010","pm10_2010","urban_rural_3lvlTown","urban_rural_3lvlRural"
0,0.04,0,0,0,0,0.03,0,0,0,0,0,0.01,0,0,0,0,0,0,0.09,0,0,0,0,0,0.06,0.03,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0.01,0
0,0.13,0,0,0,0,0.04,0,0,0,0.01,0,0.01,0,0,0,0,0.01,0,0.15,0,0,0,0,0,0.13,0.04,0,0.02,0,0.04,0,0,0,0.02,0.02,0,0,0,0,0,0.01,0,0,0.03,0,0,0.01,0
0.02,0.22,0,0,0,0,0.1,0.01,0.01,0,0.03,0,0.02,0,0,0,0.01,0.01,0.01,0.27,0,0.01,0,0,0,0.2,0.11,0.03,0.03,0,0.07,0.01,0,0,0.02,0.03,0,0,0,0,0,0.01,0.01,0,0.06,0,0,0.02,0
0.03,0.32,0,0,0,0.01,0.12,0.02,0.02,0,0.03,0.01,0.02,0,0.01,0,0.03,0.06,0.01,0.38,0,0.01,0.01,0,0,0.35,0.13,0.06,0.05,0,0.17,0.01,0,0,0.05,0.06,0,0,0.01,0.01,0,0.02,0.04,0,0.08,0,0.01,0.03,0
0.05,0.44,0.01,0.01,0,0.02,0.19,0.02,0.02,0.01,0.09,0.03,0.08,0.02,0.01,0,0.05,0.11,0.01,0.57,0,0.02,0.02,0.01,0,0.42,0.16,0.07,0.07,0,0.28,0.05,0,0.02,0.07,0.12,0.02,0.01,0.01,0.01,0.01,0.02,0.05,0,0.2,0.01,0.01,0.04,0.01
0.06,0.49,0.04,0.01,0.01,0.02,0.28,0.03,0.05,0.03,0.12,0.04,0.11,0.04,0.02,0.02,0.08,0.18,0.01,0.68,0.02,0.08,0.02,0.02,0.02,0.47,0.23,0.13,0.14,0.01,0.43,0.11,0,0.02,0.08,0.17,0.02,0.01,0.02,0.02,0.01,0.02,0.14,0,0.3,0.03,0.03,0.09,0.01
0.07,0.57,0.06,0.05,0.02,0.04,0.37,0.05,0.07,0.04,0.14,0.06,0.16,0.06,0.04,0.04,0.16,0.2,0.01,0.74,0.04,0.09,0.04,0.04,0.03,0.53,0.29,0.18,0.16,0.03,0.46,0.12,0.01,0.06,0.14,0.24,0.04,0.03,0.04,0.03,0.01,0.04,0.15,0.01,0.43,0.07,0.07,0.13,0.05
0.08,0.6,0.13,0.06,0.02,0.07,0.45,0.05,0.1,0.08,0.19,0.08,0.19,0.08,0.06,0.04,0.2,0.27,0.01,0.77,0.05,0.12,0.04,0.06,0.03,0.65,0.31,0.22,0.24,0.03,0.51,0.16,0.01,0.13,0.2,0.31,0.06,0.04,0.04,0.03,0.04,0.08,0.19,0.03,0.47,0.09,0.11,0.2,0.08
0.11,0.66,0.15,0.07,0.03,0.11,0.49,0.05,0.14,0.16,0.24,0.12,0.26,0.1,0.06,0.07,0.24,0.35,0.01,0.83,0.08,0.15,0.05,0.06,0.07,0.69,0.35,0.25,0.31,0.04,0.58,0.18,0.03,0.21,0.3,0.42,0.07,0.04,0.06,0.06,0.07,0.1,0.24,0.07,0.54,0.12,0.17,0.27,0.13
0.16,0.77,0.16,0.11,0.09,0.17,0.59,0.05,0.16,0.2,0.28,0.13,0.3,0.14,0.06,0.1,0.29,0.39,0.01,0.86,0.08,0.18,0.06,0.08,0.1,0.76,0.37,0.3,0.41,0.07,0.63,0.23,0.04,0.23,0.39,0.47,0.09,0.05,0.1,0.07,0.08,0.11,0.32,0.07,0.61,0.23,0.19,0.32,0.15
