"household_income18-31k","household_income31-52k","household_income52-100k","household_income>100k","highest_qualificationCSEs","highest_qualificationO-levels/GCSEs","highest_qualificationProfessional (nursing/teaching)","highest_qualificationVocational (NVQ/HND/HNC)","highest_qualificationA-levels","highest_qualificationUniversity degree","employmentRetired","employmentOther economically inactive","employmentUnemployed","employmentUnable to work","housingRenter","housingOther","household_size2 people","household_size3-5 people","household_size6+ people","diet_score","alcohol_consumptionFormer drinker","alcohol_consumptionSocial drinker","alcohol_consumptionModerate drinker","alcohol_consumptionDaily drinker","salt_addedSometimes","salt_addedUsually","salt_addedAlways","sleep_hrs","insomniaSometimes","insomniaUsually","smoking_status_refinedFormer_Recent","smoking_status_refinedFormer_Long","smoking_status_refinedCurrent","pack_yrs","passive_total_hrs","met_min_week_all","mh_sought_helpYes","work_job_satisfaction_num","neuroticism_score","breastfedYes","comparative_body_size_10About average","comparative_body_size_10Plumper","maternal_smoking_birthYes","birth_weight","no2_2010","pm2.5_2010","pm10_2010","urban_rural_3lvlTown","urban_rural_3lvlRural"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.57,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0.76,0,0,0
0,0,0.02,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0.01,0,0,0,0,0,0.02,0,0,0.01,0,0.88,0,0,0
0,0,0.08,0.01,0,0,0,0,0,0,0.01,0,0.01,0,0,0,0,0,0.01,0,0,0.01,0,0.01,0,0,0.01,0.01,0,0,0,0,0,0,0.01,0,0.01,0,0,0,0.03,0.01,0,0.01,0,0.94,0,0,0
0,0,0.15,0.01,0,0,0,0,0,0,0.01,0,0.01,0,0,0,0,0,0.02,0.03,0,0.01,0,0.01,0,0,0.01,0.02,0,0,0,0,0,0,0.02,0,0.01,0,0,0,0.04,0.02,0.01,0.01,0,0.95,0,0,0
0,0.02,0.17,0.01,0,0.01,0.01,0.01,0,0,0.04,0.01,0.02,0,0,0,0,0,0.05,0.06,0,0.02,0,0.03,0,0,0.04,0.05,0,0.01,0,0,0,0,0.02,0,0.01,0.02,0.01,0,0.08,0.02,0.02,0.01,0,0.95,0,0,0
0.02,0.04,0.2,0.01,0,0.02,0.01,0.02,0.02,0,0.05,0.01,0.05,0.01,0.01,0,0.02,0,0.06,0.08,0,0.05,0,0.05,0,0,0.06,0.07,0,0.01,0.01,0,0.01,0.01,0.02,0.01,0.01,0.02,0.01,0,0.13,0.05,0.04,0.02,0.01,0.98,0.01,0,0
0.09,0.06,0.31,0.01,0,0.06,0.01,0.07,0.02,0,0.07,0.01,0.06,0.02,0.05,0,0.02,0,0.07,0.11,0,0.08,0.01,0.05,0.02,0,0.09,0.11,0,0.02,0.03,0,0.01,0.01,0.03,0.01,0.01,0.05,0.02,0.01,0.18,0.07,0.04,0.04,0.02,1,0.01,0.02,0.01
0.12,0.08,0.44,0.03,0.01,0.08,0.02,0.11,0.04,0.02,0.08,0.01,0.06,0.05,0.06,0.02,0.05,0,0.11,0.15,0.03,0.12,0.01,0.07,0.03,0,0.12,0.19,0.02,0.03,0.04,0.02,0.02,0.03,0.04,0.06,0.02,0.09,0.03,0.02,0.22,0.11,0.09,0.04,0.03,1,0.01,0.02,0.02
0.15,0.14,0.51,0.03,0.04,0.14,0.04,0.15,0.05,0.02,0.11,0.02,0.08,0.05,0.1,0.03,0.09,0.01,0.2,0.21,0.05,0.14,0.01,0.12,0.03,0.02,0.14,0.26,0.02,0.04,0.06,0.03,0.03,0.04,0.09,0.08,0.03,0.14,0.04,0.03,0.27,0.13,0.11,0.05,0.07,1,0.02,0.04,0.02
0.19,0.18,0.57,0.03,0.08,0.18,0.09,0.19,0.06,0.02,0.2,0.03,0.13,0.05,0.12,0.06,0.12,0.02,0.25,0.31,0.06,0.18,0.04,0.16,0.05,0.03,0.2,0.34,0.04,0.05,0.09,0.04,0.03,0.09,0.12,0.1,0.05,0.19,0.07,0.06,0.33,0.2,0.16,0.15,0.12,1,0.05,0.06,0.02
0.21,0.19,0.66,0.06,0.11,0.23,0.11,0.24,0.11,0.02,0.25,0.03,0.16,0.07,0.17,0.07,0.14,0.03,0.33,0.38,0.12,0.25,0.07,0.18,0.06,0.06,0.24,0.43,0.07,0.06,0.13,0.08,0.03,0.11,0.17,0.13,0.09,0.22,0.09,0.12,0.4,0.21,0.19,0.22,0.14,1,0.12,0.11,0.03
0.24,0.26,0.68,0.09,0.12,0.29,0.13,0.28,0.16,0.04,0.33,0.06,0.22,0.12,0.19,0.13,0.15,0.04,0.41,0.43,0.18,0.31,0.08,0.23,0.12,0.07,0.31,0.44,0.08,0.09,0.16,0.12,0.06,0.11,0.22,0.18,0.13,0.29,0.12,0.18,0.43,0.24,0.25,0.26,0.17,1,0.16,0.15,0.05
0.3,0.3,0.72,0.11,0.14,0.32,0.14,0.32,0.21,0.05,0.36,0.07,0.28,0.14,0.24,0.17,0.19,0.05,0.48,0.47,0.26,0.34,0.12,0.24,0.15,0.1,0.38,0.48,0.12,0.15,0.22,0.14,0.07,0.13,0.25,0.21,0.18,0.34,0.14,0.23,0.48,0.27,0.27,0.33,0.26,1,0.24,0.21,0.07
0.32,0.38,0.75,0.12,0.16,0.36,0.21,0.41,0.24,0.1,0.44,0.1,0.29,0.19,0.29,0.2,0.21,0.07,0.52,0.53,0.32,0.39,0.15,0.28,0.18,0.14,0.48,0.54,0.16,0.16,0.24,0.18,0.1,0.13,0.27,0.27,0.22,0.39,0.23,0.31,0.52,0.31,0.3,0.36,0.29,1,0.38,0.26,0.08
0.34,0.45,0.83,0.18,0.19,0.39,0.22,0.47,0.32,0.13,0.47,0.14,0.3,0.22,0.36,0.25,0.27,0.1,0.52,0.56,0.41,0.41,0.19,0.3,0.22,0.16,0.49,0.6,0.2,0.19,0.28,0.24,0.18,0.15,0.35,0.31,0.3,0.48,0.25,0.37,0.55,0.32,0.33,0.42,0.31,1,0.46,0.32,0.11
0.4,0.48,0.87,0.22,0.25,0.46,0.23,0.5,0.37,0.15,0.47,0.2,0.37,0.27,0.41,0.29,0.31,0.13,0.55,0.6,0.46,0.43,0.27,0.31,0.26,0.18,0.54,0.63,0.26,0.25,0.33,0.27,0.22,0.22,0.4,0.37,0.3,0.53,0.31,0.4,0.56,0.33,0.35,0.44,0.36,1,0.54,0.37,0.14
0.42,0.54,0.88,0.29,0.31,0.51,0.29,0.55,0.41,0.18,0.49,0.22,0.4,0.32,0.45,0.31,0.36,0.16,0.59,0.61,0.5,0.47,0.35,0.34,0.31,0.18,0.59,0.65,0.26,0.27,0.36,0.28,0.26,0.29,0.45,0.4,0.35,0.56,0.35,0.44,0.58,0.35,0.37,0.47,0.44,1,0.61,0.38,0.17
0.42,0.59,0.91,0.31,0.34,0.55,0.38,0.57,0.43,0.18,0.53,0.23,0.43,0.36,0.47,0.34,0.42,0.2,0.64,0.63,0.53,0.51,0.39,0.36,0.33,0.24,0.61,0.71,0.29,0.33,0.41,0.33,0.27,0.31,0.48,0.47,0.4,0.61,0.4,0.49,0.59,0.35,0.41,0.53,0.46,1,0.67,0.45,0.2
0.44,0.64,0.92,0.37,0.36,0.56,0.43,0.59,0.47,0.19,0.58,0.24,0.47,0.4,0.5,0.38,0.44,0.26,0.72,0.67,0.58,0.55,0.42,0.41,0.35,0.28,0.62,0.72,0.34,0.38,0.44,0.38,0.3,0.38,0.51,0.5,0.45,0.67,0.43,0.53,0.6,0.36,0.46,0.59,0.51,1,0.72,0.5,0.24
0.46,0.7,0.95,0.41,0.4,0.6,0.5,0.6,0.49,0.2,0.59,0.28,0.51,0.43,0.55,0.42,0.49,0.34,0.72,0.71,0.61,0.56,0.44,0.4,0.4,0.34,0.66,0.74,0.39,0.4,0.45,0.42,0.3,0.43,0.54,0.52,0.48,0.71,0.44,0.57,0.66,0.36,0.49,0.65,0.51,1,0.75,0.53,0.28
