"source_variable","group","max_selection_proportion","selected"
"pm2.5_2010","exposure",0.98,TRUE
"household_income","exposure",0.2,FALSE
"comparative_body_size_10","exposure",0.13,FALSE
"diet_score","exposure",0.08,FALSE
"sleep_hrs","exposure",0.07,FALSE
"household_size","exposure",0.06,FALSE
"salt_added","exposure",0.06,FALSE
"alcohol_consumption","exposure",0.05,FALSE
"employment","exposure",0.05,FALSE
"maternal_smoking_birth","exposure",0.04,FALSE
"birth_weight","exposure",0.02,FALSE
"highest_qualification","exposure",0.02,FALSE
"passive_total_hrs","exposure",0.02,FALSE
"work_job_satisfaction_num","exposure",0.02,FALSE
"housing","exposure",0.01,FALSE
"insomnia","exposure",0.01,FALSE
"met_min_week_all","exposure",0.01,FALSE
"mh_sought_help","exposure",0.01,FALSE
"neuroticism_score","exposure",0.01,FALSE
"no2_2010","exposure",0.01,FALSE
"pack_yrs","exposure",0.01,FALSE
"pm10_2010","exposure",0.01,FALSE
"smoking_status_refined","exposure",0.01,FALSE
"breastfed","exposure",0,FALSE
"urban_rural_3lvl","exposure",0,FALSE
