"feature","selection_proportion","selected","source_variable","group"
"pm2.5_2010",0.98,TRUE,"pm2.5_2010","exposure"
"household_income52-100k",0.2,FALSE,"household_income","exposure"
"comparative_body_size_10About average",0.13,FALSE,"comparative_body_size_10","exposure"
"diet_score",0.08,FALSE,"diet_score","exposure"
"sleep_hrs",0.07,FALSE,"sleep_hrs","exposure"
"household_size6+ people",0.06,FALSE,"household_size","exposure"
"salt_addedAlways",0.06,FALSE,"salt_added","exposure"
"alcohol_consumptionDaily drinker",0.05,FALSE,"alcohol_consumption","exposure"
"alcohol_consumptionSocial drinker",0.05,FALSE,"alcohol_consumption","exposure"
"comparative_body_size_10Plumper",0.05,FALSE,"comparative_body_size_10","exposure"
"employmentRetired",0.05,FALSE,"employment","exposure"
"employmentUnemployed",0.05,FALSE,"employment","exposure"
"household_income31-52k",0.04,FALSE,"household_income","exposure"
"maternal_smoking_birthYes",0.04,FALSE,"maternal_smoking_birth","exposure"
"birth_weight",0.02,FALSE,"birth_weight","exposure"
"highest_qualificationA-levels",0.02,FALSE,"highest_qualification","exposure"
"highest_qualificationO-levels/GCSEs",0.02,FALSE,"highest_qualification","exposure"
"highest_qualificationVocational (NVQ/HND/HNC)",0.02,FALSE,"highest_qualification","exposure"
"household_income18-31k",0.02,FALSE,"household_income","exposure"
"household_size2 people",0.02,FALSE,"household_size","exposure"
"passive_total_hrs",0.02,FALSE,"passive_total_hrs","exposure"
"work_job_satisfaction_num",0.02,FALSE,"work_job_satisfaction_num","exposure"
"employmentOther economically inactive",0.01,FALSE,"employment","exposure"
"employmentUnable to work",0.01,FALSE,"employment","exposure"
"highest_qualificationProfessional (nursing/teaching)",0.01,FALSE,"highest_qualification","exposure"
"household_income>100k",0.01,FALSE,"household_income","exposure"
"housingRenter",0.01,FALSE,"housing","exposure"
"insomniaUsually",0.01,FALSE,"insomnia","exposure"
"met_min_week_all",0.01,FALSE,"met_min_week_all","exposure"
"mh_sought_helpYes",0.01,FALSE,"mh_sought_help","exposure"
"neuroticism_score",0.01,FALSE,"neuroticism_score","exposure"
"no2_2010",0.01,FALSE,"no2_2010","exposure"
"pack_yrs",0.01,FALSE,"pack_yrs","exposure"
"pm10_2010",0.01,FALSE,"pm10_2010","exposure"
"smoking_status_refinedCurrent",0.01,FALSE,"smoking_status_refined","exposure"
"smoking_status_refinedFormer_Recent",0.01,FALSE,"smoking_status_refined","exposure"
"alcohol_consumptionFormer drinker",0,FALSE,"alcohol_consumption","exposure"
"alcohol_consumptionModerate drinker",0,FALSE,"alcohol_consumption","exposure"
"breastfedYes",0,FALSE,"breastfed","exposure"
"highest_qualificationCSEs",0,FALSE,"highest_qualification","exposure"
"highest_qualificationUniversity degree",0,FALSE,"highest_qualification","exposure"
"household_size3-5 people",0,FALSE,"household_size","exposure"
"housingOther",0,FALSE,"housing","exposure"
"insomniaSometimes",0,FALSE,"insomnia","exposure"
"salt_addedSometimes",0,FALSE,"salt_added","exposure"
"salt_addedUsually",0,FALSE,"salt_added","exposure"
"smoking_status_refinedFormer_Long",0,FALSE,"smoking_status_refined","exposure"
"urban_rural_3lvlRural",0,FALSE,"urban_rural_3lvl","exposure"
"urban_rural_3lvlTown",0,FALSE,"urban_rural_3lvl","exposure"
