"source_variable","group","max_selection_proportion","selected"
"sbp","biological",1,TRUE
"albumin","biological",0,FALSE
"alp","biological",0,FALSE
"alt","biological",0,FALSE
"angina_dx_age","biological",0,FALSE
"apoa1","biological",0,FALSE
"apob","biological",0,FALSE
"ast","biological",0,FALSE
"bilirubin","biological",0,FALSE
"body_fat_mass","biological",0,FALSE
"creatinine","biological",0,FALSE
"crp","biological",0,FALSE
"cystatin_c","biological",0,FALSE
"dbp","biological",0,FALSE
"diabetes_doctor_diagnosed","biological",0,FALSE
"dvt_dx_age","biological",0,FALSE
"ggt","biological",0,FALSE
"grip_strength","biological",0,FALSE
"hba1c","biological",0,FALSE
"hdl_cholesterol","biological",0,FALSE
"heart_problems_collapsed","biological",0,FALSE
"heel_bone_density","biological",0,FALSE
"ldl_direct","biological",0,FALSE
"long_ill","biological",0,FALSE
"lpa","biological",0,FALSE
"lymphocyte_count","biological",0,FALSE
"meds_chol_bp_diabetes_collapsed","biological",0,FALSE
"meds_chol_bp_diabetes_hormone_collapsed","biological",0,FALSE
"mi_dx_age","biological",0,FALSE
"monocyte_count","biological",0,FALSE
"neutrophill_count","biological",0,FALSE
"pe_dx_age","biological",0,FALSE
"platelets","biological",0,FALSE
"serious_dx","biological",0,FALSE
"stroke_dx_age","biological",0,FALSE
"total_cholesterol","biological",0,FALSE
"triglycerides","biological",0,FALSE
"wbc","biological",0,FALSE
"whr","biological",0,FALSE
"alcohol_consumption","exposure",0,FALSE
"birth_weight","exposure",0,FALSE
"breastfed","exposure",0,FALSE
"comparative_body_size_10","exposure",0,FALSE
"diet_score","exposure",0,FALSE
"employment","exposure",0,FALSE
"highest_qualification","exposure",0,FALSE
"household_income","exposure",0,FALSE
"household_size","exposure",0,FALSE
"housing","exposure",0,FALSE
"insomnia","exposure",0,FALSE
"maternal_smoking_birth","exposure",0,FALSE
"met_min_week_all","exposure",0,FALSE
"mh_sought_help","exposure",0,FALSE
"neuroticism_score","exposure",0,FALSE
"no2_2010","exposure",0,FALSE
"pack_yrs","exposure",0,FALSE
"passive_cat","exposure",0,FALSE
"passive_total_hrs","exposure",0,FALSE
"pm10_2010","exposure",0,FALSE
"pm2.5_2010","exposure",0,FALSE
"salt_added","exposure",0,FALSE
"sleep_cat","exposure",0,FALSE
"sleep_hrs","exposure",0,FALSE
"smoking_status_refined","exposure",0,FALSE
"urban_rural_3lvl","exposure",0,FALSE
"work_job_satisfaction_num","exposure",0,FALSE
