"source_variable","group","max_selection_proportion","selected"
"employment","exposure",0.93,TRUE
"triglycerides","biological",0.89,TRUE
"meds_chol_bp_diabetes_hormone_collapsed","biological",0.88,TRUE
"alcohol_consumption","exposure",0.83,TRUE
"serious_dx","biological",0.8,TRUE
"diabetes_doctor_diagnosed","biological",0.77,TRUE
"smoking_status_refined","exposure",0.76,TRUE
"lpa","biological",0.69,FALSE
"whr","biological",0.67,FALSE
"dvt_dx_age","biological",0.6,FALSE
"hba1c","biological",0.6,FALSE
"dbp","biological",0.58,FALSE
"mi_dx_age","biological",0.58,FALSE
"crp","biological",0.54,FALSE
"platelets","biological",0.54,FALSE
"highest_qualification","exposure",0.54,FALSE
"alp","biological",0.53,FALSE
"salt_added","exposure",0.51,FALSE
"heart_problems_collapsed","biological",0.5,FALSE
"pe_dx_age","biological",0.48,FALSE
"stroke_dx_age","biological",0.47,FALSE
"housing","exposure",0.47,FALSE
"household_income","exposure",0.46,FALSE
"no2_2010","exposure",0.46,FALSE
"total_cholesterol","biological",0.42,FALSE
"sleep_hrs","exposure",0.41,FALSE
"mh_sought_help","exposure",0.4,FALSE
"breastfed","exposure",0.39,FALSE
"ast","biological",0.38,FALSE
"monocyte_count","biological",0.38,FALSE
"passive_total_hrs","exposure",0.38,FALSE
"angina_dx_age","biological",0.37,FALSE
"maternal_smoking_birth","exposure",0.37,FALSE
"neutrophill_count","biological",0.35,FALSE
"apob","biological",0.34,FALSE
"urban_rural_3lvl","exposure",0.34,FALSE
"pack_yrs","exposure",0.33,FALSE
"diet_score","exposure",0.31,FALSE
"neuroticism_score","exposure",0.31,FALSE
"lymphocyte_count","biological",0.3,FALSE
"albumin","biological",0.29,FALSE
"creatinine","biological",0.29,FALSE
"met_min_week_all","exposure",0.29,FALSE
"meds_chol_bp_diabetes_collapsed","biological",0.28,FALSE
"body_fat_mass","biological",0.27,FALSE
"cystatin_c","biological",0.25,FALSE
"pm10_2010","exposure",0.25,FALSE
"hdl_cholesterol","biological",0.24,FALSE
"long_ill","biological",0.24,FALSE
"birth_weight","exposure",0.24,FALSE
"household_size","exposure",0.24,FALSE
"ggt","biological",0.22,FALSE
"sleep_cat","exposure",0.22,FALSE
"work_job_satisfaction_num","exposure",0.22,FALSE
"grip_strength","biological",0.21,FALSE
"passive_cat","exposure",0.21,FALSE
"comparative_body_size_10","exposure",0.19,FALSE
"alt","biological",0.18,FALSE
"insomnia","exposure",0.18,FALSE
"bilirubin","biological",0.17,FALSE
"heel_bone_density","biological",0.16,FALSE
"apoa1","biological",0.14,FALSE
"wbc","biological",0.14,FALSE
"pm2.5_2010","exposure",0.14,FALSE
"ldl_direct","biological",0.03,FALSE
