"feature","selection_proportion","selected","source_variable","group"
"employmentUnemployed",0.93,TRUE,"employment","exposure"
"triglycerides",0.89,TRUE,"triglycerides","biological"
"meds_chol_bp_diabetes_hormone_collapsedYes",0.88,TRUE,"meds_chol_bp_diabetes_hormone_collapsed","biological"
"alcohol_consumptionModerate drinker",0.83,TRUE,"alcohol_consumption","exposure"
"serious_dxYes - you will be asked about this later by an interviewer",0.8,TRUE,"serious_dx","biological"
"employmentUnable to work",0.78,TRUE,"employment","exposure"
"diabetes_doctor_diagnosedYes",0.77,TRUE,"diabetes_doctor_diagnosed","biological"
"smoking_status_refinedFormer_Long",0.76,TRUE,"smoking_status_refined","exposure"
"lpa",0.69,FALSE,"lpa","biological"
"whr",0.67,FALSE,"whr","biological"
"dvt_dx_age",0.6,FALSE,"dvt_dx_age","biological"
"hba1c",0.6,FALSE,"hba1c","biological"
"dbp",0.58,FALSE,"dbp","biological"
"mi_dx_age",0.58,FALSE,"mi_dx_age","biological"
"crp",0.54,FALSE,"crp","biological"
"highest_qualificationO-levels/GCSEs",0.54,FALSE,"highest_qualification","exposure"
"platelets",0.54,FALSE,"platelets","biological"
"alp",0.53,FALSE,"alp","biological"
"salt_addedSometimes",0.51,FALSE,"salt_added","exposure"
"heart_problems_collapsedYes",0.5,FALSE,"heart_problems_collapsed","biological"
"pe_dx_age",0.48,FALSE,"pe_dx_age","biological"
"housingRenter",0.47,FALSE,"housing","exposure"
"stroke_dx_age",0.47,FALSE,"stroke_dx_age","biological"
"household_income31-52k",0.46,FALSE,"household_income","exposure"
"no2_2010",0.46,FALSE,"no2_2010","exposure"
"total_cholesterol",0.42,FALSE,"total_cholesterol","biological"
"sleep_hrs",0.41,FALSE,"sleep_hrs","exposure"
"alcohol_consumptionSocial drinker",0.4,FALSE,"alcohol_consumption","exposure"
"mh_sought_helpYes",0.4,FALSE,"mh_sought_help","exposure"
"breastfedYes",0.39,FALSE,"breastfed","exposure"
"alcohol_consumptionFormer drinker",0.38,FALSE,"alcohol_consumption","exposure"
"ast",0.38,FALSE,"ast","biological"
"monocyte_count",0.38,FALSE,"monocyte_count","biological"
"passive_total_hrs",0.38,FALSE,"passive_total_hrs","exposure"
"angina_dx_age",0.37,FALSE,"angina_dx_age","biological"
"maternal_smoking_birthYes",0.37,FALSE,"maternal_smoking_birth","exposure"
"neutrophill_count",0.35,FALSE,"neutrophill_count","biological"
"apob",0.34,FALSE,"apob","biological"
"urban_rural_3lvlTown",0.34,FALSE,"urban_rural_3lvl","exposure"
"highest_qualificationA-levels",0.33,FALSE,"highest_qualification","exposure"
"highest_qualificationCSEs",0.33,FALSE,"highest_qualification","exposure"
"household_income>100k",0.33,FALSE,"household_income","exposure"
"pack_yrs",0.33,FALSE,"pack_yrs","exposure"
"household_income18-31k",0.32,FALSE,"household_income","exposure"
"diet_score",0.31,FALSE,"diet_score","exposure"
"neuroticism_score",0.31,FALSE,"neuroticism_score","exposure"
"lymphocyte_count",0.3,FALSE,"lymphocyte_count","biological"
"salt_addedAlways",0.3,FALSE,"salt_added","exposure"
"albumin",0.29,FALSE,"albumin","biological"
"creatinine",0.29,FALSE,"creatinine","biological"
"housingOther",0.29,FALSE,"housing","exposure"
"met_min_week_all",0.29,FALSE,"met_min_week_all","exposure"
"household_income52-100k",0.28,FALSE,"household_income","exposure"
"meds_chol_bp_diabetes_collapsedYes",0.28,FALSE,"meds_chol_bp_diabetes_collapsed","biological"
"body_fat_mass",0.27,FALSE,"body_fat_mass","biological"
"cystatin_c",0.25,FALSE,"cystatin_c","biological"
"pm10_2010",0.25,FALSE,"pm10_2010","exposure"
"birth_weight",0.24,FALSE,"birth_weight","exposure"
"hdl_cholesterol",0.24,FALSE,"hdl_cholesterol","biological"
"household_size2 people",0.24,FALSE,"household_size","exposure"
"long_illYes",0.24,FALSE,"long_ill","biological"
"ggt",0.22,FALSE,"ggt","biological"
"sleep_catLong",0.22,FALSE,"sleep_cat","exposure"
"work_job_satisfaction_num",0.22,FALSE,"work_job_satisfaction_num","exposure"
"grip_strength",0.21,FALSE,"grip_strength","biological"
"passive_catHigh",0.21,FALSE,"passive_cat","exposure"
"urban_rural_3lvlRural",0.21,FALSE,"urban_rural_3lvl","exposure"
"employmentOther economically inactive",0.2,FALSE,"employment","exposure"
"household_size3-5 people",0.2,FALSE,"household_size","exposure"
"salt_addedUsually",0.2,FALSE,"salt_added","exposure"
"comparative_body_size_10Plumper",0.19,FALSE,"comparative_body_size_10","exposure"
"highest_qualificationVocational (NVQ/HND/HNC)",0.19,FALSE,"highest_qualification","exposure"
"smoking_status_refinedFormer_Recent",0.19,FALSE,"smoking_status_refined","exposure"
"alt",0.18,FALSE,"alt","biological"
"insomniaSometimes",0.18,FALSE,"insomnia","exposure"
"insomniaUsually",0.18,FALSE,"insomnia","exposure"
"bilirubin",0.17,FALSE,"bilirubin","biological"
"employmentRetired",0.17,FALSE,"employment","exposure"
"household_size6+ people",0.17,FALSE,"household_size","exposure"
"comparative_body_size_10About average",0.16,FALSE,"comparative_body_size_10","exposure"
"heel_bone_density",0.16,FALSE,"heel_bone_density","biological"
"highest_qualificationProfessional (nursing/teaching)",0.16,FALSE,"highest_qualification","exposure"
"passive_catLow",0.15,FALSE,"passive_cat","exposure"
"apoa1",0.14,FALSE,"apoa1","biological"
"highest_qualificationUniversity degree",0.14,FALSE,"highest_qualification","exposure"
"pm2.5_2010",0.14,FALSE,"pm2.5_2010","exposure"
"wbc",0.14,FALSE,"wbc","biological"
"alcohol_consumptionDaily drinker",0.11,FALSE,"alcohol_consumption","exposure"
"smoking_status_refinedCurrent",0.1,FALSE,"smoking_status_refined","exposure"
"sleep_catShort",0.07,FALSE,"sleep_cat","exposure"
"ldl_direct",0.03,FALSE,"ldl_direct","biological"
