"source_variable","group","max_selection_proportion","selected"
"employment","exposure",0.918,TRUE
"triglycerides","biological",0.892,TRUE
"alcohol_consumption","exposure",0.881,TRUE
"meds_chol_bp_diabetes_hormone_collapsed","biological",0.802,TRUE
"smoking_status_refined","exposure",0.79,TRUE
"serious_dx","biological",0.784,TRUE
"diabetes_doctor_diagnosed","biological",0.711,FALSE
"lpa","biological",0.705,FALSE
"whr","biological",0.65,FALSE
"alp","biological",0.577,FALSE
"highest_qualification","exposure",0.571,FALSE
"dbp","biological",0.555,FALSE
"salt_added","exposure",0.546,FALSE
"mi_dx_age","biological",0.538,FALSE
"stroke_dx_age","biological",0.529,FALSE
"dvt_dx_age","biological",0.528,FALSE
"housing","exposure",0.527,FALSE
"hba1c","biological",0.504,FALSE
"heart_problems_collapsed","biological",0.498,FALSE
"platelets","biological",0.497,FALSE
"crp","biological",0.493,FALSE
"total_cholesterol","biological",0.453,FALSE
"breastfed","exposure",0.447,FALSE
"household_income","exposure",0.428,FALSE
"no2_2010","exposure",0.424,FALSE
"mh_sought_help","exposure",0.415,FALSE
"monocyte_count","biological",0.386,FALSE
"pe_dx_age","biological",0.384,FALSE
"maternal_smoking_birth","exposure",0.383,FALSE
"ast","biological",0.379,FALSE
"sleep_hrs","exposure",0.368,FALSE
"neutrophill_count","biological",0.354,FALSE
"passive_total_hrs","exposure",0.35,FALSE
"urban_rural_3lvl","exposure",0.34,FALSE
"apob","biological",0.318,FALSE
"creatinine","biological",0.3,FALSE
"angina_dx_age","biological",0.299,FALSE
"neuroticism_score","exposure",0.296,FALSE
"pack_yrs","exposure",0.289,FALSE
"diet_score","exposure",0.276,FALSE
"pm10_2010","exposure",0.245,FALSE
"body_fat_mass","biological",0.241,FALSE
"household_size","exposure",0.237,FALSE
"passive_cat","exposure",0.233,FALSE
"met_min_week_all","exposure",0.232,FALSE
"cystatin_c","biological",0.228,FALSE
"hdl_cholesterol","biological",0.226,FALSE
"meds_chol_bp_diabetes_collapsed","biological",0.222,FALSE
"heel_bone_density","biological",0.219,FALSE
"lymphocyte_count","biological",0.219,FALSE
"work_job_satisfaction_num","exposure",0.217,FALSE
"ggt","biological",0.208,FALSE
"birth_weight","exposure",0.208,FALSE
"sleep_cat","exposure",0.206,FALSE
"albumin","biological",0.204,FALSE
"insomnia","exposure",0.204,FALSE
"long_ill","biological",0.199,FALSE
"grip_strength","biological",0.196,FALSE
"comparative_body_size_10","exposure",0.193,FALSE
"alt","biological",0.191,FALSE
"bilirubin","biological",0.188,FALSE
"wbc","biological",0.163,FALSE
"pm2.5_2010","exposure",0.158,FALSE
"apoa1","biological",0.126,FALSE
"ldl_direct","biological",0.011,FALSE
