"feature","selection_proportion"
"household_income18-31k",0.266
"household_income31-52k",0.428
"household_income52-100k",0.238
"household_income>100k",0.294
"highest_qualificationCSEs",0.376
"highest_qualificationO-levels/GCSEs",0.571
"highest_qualificationProfessional (nursing/teaching)",0.191
"highest_qualificationVocational (NVQ/HND/HNC)",0.188
"highest_qualificationA-levels",0.271
"highest_qualificationUniversity degree",0.152
"employmentRetired",0.16
"employmentOther economically inactive",0.196
"employmentUnemployed",0.918
"employmentUnable to work",0.791
"housingRenter",0.527
"housingOther",0.273
"household_size2 people",0.191
"household_size3-5 people",0.225
"household_size6+ people",0.237
"diet_score",0.276
"alcohol_consumptionFormer drinker",0.368
"alcohol_consumptionSocial drinker",0.374
"alcohol_consumptionModerate drinker",0.881
"alcohol_consumptionDaily drinker",0.078
"salt_addedSometimes",0.546
"salt_addedUsually",0.168
"salt_addedAlways",0.307
"sleep_hrs",0.368
"sleep_catShort",0.09
"sleep_catLong",0.206
"insomniaSometimes",0.194
"insomniaUsually",0.204
"smoking_status_refinedFormer_Recent",0.197
"smoking_status_refinedFormer_Long",0.79
"smoking_status_refinedCurrent",0.112
"pack_yrs",0.289
"passive_total_hrs",0.35
"passive_catLow",0.211
"passive_catHigh",0.233
"met_min_week_all",0.232
"mh_sought_helpYes",0.415
"work_job_satisfaction_num",0.217
"neuroticism_score",0.296
"breastfedYes",0.447
"comparative_body_size_10About average",0.179
"comparative_body_size_10Plumper",0.193
"maternal_smoking_birthYes",0.383
"birth_weight",0.208
"no2_2010",0.424
"pm2.5_2010",0.158
"pm10_2010",0.245
"urban_rural_3lvlTown",0.34
"urban_rural_3lvlRural",0.179
"dbp",0.555
"grip_strength",0.196
"whr",0.65
"heel_bone_density",0.219
"body_fat_mass",0.241
"wbc",0.163
"platelets",0.497
"albumin",0.204
"alp",0.577
"alt",0.191
"apoa1",0.126
"apob",0.318
"ast",0.379
"bilirubin",0.188
"total_cholesterol",0.453
"creatinine",0.3
"crp",0.493
"cystatin_c",0.228
"ggt",0.208
"hba1c",0.504
"hdl_cholesterol",0.226
"ldl_direct",0.011
"lpa",0.705
"triglycerides",0.892
"long_illYes",0.199
"diabetes_doctor_diagnosedYes",0.711
"serious_dxYes - you will be asked about this later by an interviewer",0.784
"angina_dx_age",0.299
"mi_dx_age",0.538
"dvt_dx_age",0.528
"pe_dx_age",0.384
"stroke_dx_age",0.529
"heart_problems_collapsedYes",0.498
"meds_chol_bp_diabetes_hormone_collapsedYes",0.802
"meds_chol_bp_diabetes_collapsedYes",0.222
"neutrophill_count",0.354
"lymphocyte_count",0.219
"monocyte_count",0.386
