"feature","selection_proportion","selected","source_variable","group"
"employmentUnemployed",0.918,TRUE,"employment","exposure"
"triglycerides",0.892,TRUE,"triglycerides","biological"
"alcohol_consumptionModerate drinker",0.881,TRUE,"alcohol_consumption","exposure"
"meds_chol_bp_diabetes_hormone_collapsedYes",0.802,TRUE,"meds_chol_bp_diabetes_hormone_collapsed","biological"
"employmentUnable to work",0.791,TRUE,"employment","exposure"
"smoking_status_refinedFormer_Long",0.79,TRUE,"smoking_status_refined","exposure"
"serious_dxYes - you will be asked about this later by an interviewer",0.784,TRUE,"serious_dx","biological"
"diabetes_doctor_diagnosedYes",0.711,FALSE,"diabetes_doctor_diagnosed","biological"
"lpa",0.705,FALSE,"lpa","biological"
"whr",0.65,FALSE,"whr","biological"
"alp",0.577,FALSE,"alp","biological"
"highest_qualificationO-levels/GCSEs",0.571,FALSE,"highest_qualification","exposure"
"dbp",0.555,FALSE,"dbp","biological"
"salt_addedSometimes",0.546,FALSE,"salt_added","exposure"
"mi_dx_age",0.538,FALSE,"mi_dx_age","biological"
"stroke_dx_age",0.529,FALSE,"stroke_dx_age","biological"
"dvt_dx_age",0.528,FALSE,"dvt_dx_age","biological"
"housingRenter",0.527,FALSE,"housing","exposure"
"hba1c",0.504,FALSE,"hba1c","biological"
"heart_problems_collapsedYes",0.498,FALSE,"heart_problems_collapsed","biological"
"platelets",0.497,FALSE,"platelets","biological"
"crp",0.493,FALSE,"crp","biological"
"total_cholesterol",0.453,FALSE,"total_cholesterol","biological"
"breastfedYes",0.447,FALSE,"breastfed","exposure"
"household_income31-52k",0.428,FALSE,"household_income","exposure"
"no2_2010",0.424,FALSE,"no2_2010","exposure"
"mh_sought_helpYes",0.415,FALSE,"mh_sought_help","exposure"
"monocyte_count",0.386,FALSE,"monocyte_count","biological"
"pe_dx_age",0.384,FALSE,"pe_dx_age","biological"
"maternal_smoking_birthYes",0.383,FALSE,"maternal_smoking_birth","exposure"
"ast",0.379,FALSE,"ast","biological"
"highest_qualificationCSEs",0.376,FALSE,"highest_qualification","exposure"
"alcohol_consumptionSocial drinker",0.374,FALSE,"alcohol_consumption","exposure"
"alcohol_consumptionFormer drinker",0.368,FALSE,"alcohol_consumption","exposure"
"sleep_hrs",0.368,FALSE,"sleep_hrs","exposure"
"neutrophill_count",0.354,FALSE,"neutrophill_count","biological"
"passive_total_hrs",0.35,FALSE,"passive_total_hrs","exposure"
