"household_income18-31k","household_income31-52k","household_income52-100k","household_income>100k","highest_qualificationCSEs","highest_qualificationO-levels/GCSEs","highest_qualificationProfessional (nursing/teaching)","highest_qualificationVocational (NVQ/HND/HNC)","highest_qualificationA-levels","highest_qualificationUniversity degree","employmentRetired","employmentOther economically inactive","employmentUnemployed","employmentUnable to work","housingRenter","housingOther","household_size2 people","household_size3-5 people","household_size6+ people","diet_score","alcohol_consumptionFormer drinker","alcohol_consumptionSocial drinker","alcohol_consumptionModerate drinker","alcohol_consumptionDaily drinker","salt_addedSometimes","salt_addedUsually","salt_addedAlways","sleep_hrs","sleep_catShort","sleep_catLong","insomniaSometimes","insomniaUsually","smoking_status_refinedFormer_Recent","smoking_status_refinedFormer_Long","smoking_status_refinedCurrent","pack_yrs","passive_total_hrs","passive_catLow","passive_catHigh","met_min_week_all","mh_sought_helpYes","work_job_satisfaction_num","neuroticism_score","breastfedYes","comparative_body_size_10About average","comparative_body_size_10Plumper","maternal_smoking_birthYes","birth_weight","no2_2010","pm2.5_2010","pm10_2010","urban_rural_3lvlTown","urban_rural_3lvlRural","dbp","grip_strength","whr","heel_bone_density","body_fat_mass","wbc","platelets","albumin","alp","alt","apoa1","apob","ast","bilirubin","total_cholesterol","creatinine","crp","cystatin_c","ggt","hba1c","hdl_cholesterol","ldl_direct","lpa","triglycerides","long_illYes","diabetes_doctor_diagnosedYes","serious_dxYes - you will be asked about this later by an interviewer","angina_dx_age","mi_dx_age","dvt_dx_age","pe_dx_age","stroke_dx_age","heart_problems_collapsedYes","meds_chol_bp_diabetes_hormone_collapsedYes","meds_chol_bp_diabetes_collapsedYes","neutrophill_count","lymphocyte_count","monocyte_count"
0,0.011,0.001,0,0.002,0.006,0,0,0,0,0,0,0.254,0.124,0.01,0.005,0,0,0.004,0,0.002,0.009,0.163,0.001,0.011,0,0.004,0.004,0,0.003,0,0,0,0.078,0,0.001,0.003,0.002,0.001,0,0.003,0,0,0.006,0,0.001,0.005,0.001,0.006,0,0.002,0.005,0,0.014,0.002,0.03,0.001,0,0,0.007,0,0.023,0.001,0.001,0.003,0.003,0.166,0.008,0.007,0.33,0.007,0,0.024,0.003,0,0.485,0.151,0,0.034,0.05,0.001,0.009,0.008,0.001,0.007,0.003,0,0.001,0,0,0.003
0,0.011,0.001,0.001,0.002,0.011,0,0.001,0,0.001,0,0,0.278,0.142,0.015,0.005,0,0.001,0.004,0,0.002,0.014,0.188,0.001,0.014,0,0.005,0.006,0,0.003,0,0,0,0.09,0.001,0.002,0.003,0.002,0.002,0,0.004,0,0,0.009,0,0.001,0.006,0.002,0.007,0,0.004,0.005,0,0.017,0.003,0.034,0.002,0,0,0.009,0,0.032,0.002,0.001,0.003,0.003,0.191,0.011,0.008,0.361,0.007,0,0.029,0.003,0,0.517,0.177,0,0.038,0.065,0.002,0.012,0.012,0.001,0.011,0.005,0,0.001,0,0,0.003
0,0.012,0.003,0.001,0.003,0.013,0,0.001,0,0.003,0,0,0.309,0.154,0.019,0.006,0,0.001,0.004,0.001,0.003,0.019,0.208,0.001,0.018,0,0.006,0.006,0,0.003,0,0,0,0.108,0.001,0.002,0.004,0.003,0.003,0,0.007,0.001,0.002,0.014,0,0.001,0.008,0.002,0.008,0,0.004,0.006,0,0.021,0.003,0.038,0.002,0,0,0.011,0,0.037,0.005,0.001,0.005,0.004,0.198,0.013,0.009,0.383,0.007,0,0.033,0.003,0,0.534,0.2,0,0.045,0.077,0.002,0.014,0.016,0.002,0.015,0.006,0,0.001,0,0.001,0.004
0.001,0.014,0.005,0.003,0.005,0.015,0.001,0.001,0,0.005,0,0,0.332,0.175,0.023,0.007,0,0.001,0.005,0.001,0.004,0.024,0.228,0.001,0.023,0,0.007,0.008,0,0.004,0,0,0,0.119,0.001,0.003,0.004,0.003,0.003,0,0.01,0.001,0.003,0.017,0,0.001,0.009,0.002,0.011,0,0.004,0.006,0,0.024,0.003,0.044,0.002,0,0.001,0.014,0,0.042,0.006,0.001,0.008,0.006,0.205,0.016,0.01,0.398,0.009,0,0.036,0.004,0,0.545,0.226,0,0.055,0.087,0.003,0.017,0.022,0.004,0.019,0.011,0,0.001,0.001,0.001,0.004
0.001,0.02,0.005,0.004,0.006,0.022,0.001,0.002,0.001,0.005,0,0.001,0.353,0.192,0.025,0.008,0.001,0.001,0.005,0.001,0.005,0.028,0.247,0.001,0.028,0,0.007,0.011,0.002,0.006,0.001,0.001,0,0.137,0.002,0.006,0.005,0.005,0.003,0,0.01,0.001,0.005,0.019,0.001,0.001,0.009,0.002,0.014,0,0.004,0.01,0,0.033,0.003,0.054,0.002,0,0.002,0.017,0.002,0.046,0.007,0.001,0.008,0.008,0.212,0.018,0.015,0.412,0.012,0,0.04,0.004,0,0.56,0.25,0,0.064,0.103,0.005,0.024,0.028,0.005,0.024,0.014,0,0.002,0.003,0.003,0.007
0.002,0.025,0.006,0.004,0.009,0.025,0.001,0.002,0.003,0.005,0.001,0.001,0.373,0.227,0.031,0.009,0.001,0.001,0.006,0.001,0.009,0.03,0.287,0.001,0.037,0,0.01,0.015,0.004,0.006,0.002,0.001,0,0.152,0.002,0.006,0.006,0.006,0.003,0,0.014,0.001,0.007,0.023,0.002,0.001,0.012,0.003,0.018,0,0.005,0.016,0.001,0.037,0.004,0.064,0.003,0.001,0.002,0.018,0.002,0.054,0.009,0.001,0.009,0.011,0.215,0.023,0.019,0.426,0.012,0,0.05,0.004,0,0.573,0.274,0.001,0.069,0.121,0.005,0.03,0.029,0.007,0.029,0.02,0.001,0.002,0.003,0.003,0.011
0.005,0.029,0.006,0.005,0.01,0.032,0.002,0.002,0.004,0.006,0.001,0.002,0.403,0.253,0.037,0.012,0.001,0.001,0.007,0.002,0.01,0.033,0.319,0.001,0.042,0,0.012,0.017,0.004,0.007,0.002,0.001,0,0.163,0.002,0.006,0.009,0.008,0.003,0,0.018,0.001,0.008,0.027,0.002,0.001,0.013,0.003,0.022,0,0.006,0.018,0.001,0.044,0.004,0.081,0.003,0.003,0.002,0.02,0.002,0.065,0.01,0.001,0.012,0.014,0.216,0.025,0.021,0.438,0.012,0,0.062,0.006,0,0.583,0.308,0.001,0.087,0.142,0.006,0.038,0.037,0.009,0.036,0.026,0.001,0.003,0.003,0.005,0.013
0.006,0.035,0.006,0.006,0.014,0.04,0.003,0.003,0.005,0.007,0.001,0.002,0.428,0.278,0.043,0.013,0.001,0.001,0.008,0.003,0.014,0.038,0.352,0.002,0.052,0,0.013,0.023,0.005,0.008,0.002,0.001,0.001,0.184,0.003,0.008,0.009,0.011,0.005,0,0.021,0.001,0.01,0.037,0.003,0.002,0.015,0.005,0.025,0.002,0.007,0.021,0.003,0.049,0.005,0.093,0.003,0.003,0.003,0.025,0.002,0.077,0.013,0.001,0.013,0.016,0.217,0.028,0.023,0.444,0.015,0.002,0.071,0.006,0,0.591,0.34,0.002,0.104,0.159,0.007,0.044,0.046,0.012,0.043,0.032,0.004,0.006,0.007,0.007,0.014
0.008,0.04,0.01,0.009,0.016,0.045,0.003,0.004,0.006,0.007,0.001,0.003,0.464,0.297,0.052,0.014,0.001,0.004,0.008,0.007,0.014,0.043,0.376,0.003,0.059,0.003,0.017,0.027,0.005,0.008,0.003,0.002,0.002,0.206,0.004,0.011,0.011,0.012,0.007,0.001,0.025,0.001,0.01,0.039,0.004,0.003,0.018,0.006,0.029,0.003,0.007,0.027,0.004,0.057,0.006,0.103,0.004,0.005,0.004,0.029,0.002,0.089,0.015,0.003,0.017,0.017,0.219,0.032,0.024,0.449,0.021,0.004,0.085,0.009,0,0.605,0.363,0.002,0.123,0.175,0.008,0.048,0.05,0.014,0.05,0.041,0.006,0.007,0.011,0.01,0.021
0.009,0.05,0.013,0.01,0.02,0.052,0.004,0.005,0.007,0.008,0.001,0.004,0.49,0.328,0.062,0.015,0.001,0.007,0.01,0.008,0.016,0.047,0.395,0.004,0.069,0.004,0.021,0.029,0.005,0.013,0.003,0.005,0.004,0.225,0.004,0.012,0.013,0.015,0.009,0.001,0.029,0.002,0.016,0.042,0.006,0.006,0.023,0.008,0.031,0.004,0.007,0.03,0.004,0.064,0.007,0.111,0.007,0.007,0.006,0.034,0.003,0.097,0.016,0.004,0.02,0.02,0.218,0.037,0.026,0.458,0.022,0.005,0.095,0.013,0.001,0.618,0.391,0.002,0.139,0.192,0.009,0.058,0.059,0.014,0.059,0.051,0.009,0.009,0.013,0.012,0.025
0.009,0.057,0.015,0.014,0.026,0.058,0.005,0.005,0.007,0.009,0.002,0.006,0.513,0.348,0.068,0.018,0.003,0.007,0.014,0.01,0.021,0.054,0.42,0.005,0.079,0.004,0.022,0.035,0.006,0.016,0.004,0.005,0.005,0.254,0.004,0.014,0.018,0.017,0.014,0.003,0.037,0.002,0.019,0.046,0.006,0.006,0.029,0.009,0.039,0.005,0.008,0.034,0.004,0.072,0.007,0.125,0.008,0.012,0.006,0.037,0.004,0.109,0.018,0.004,0.027,0.026,0.219,0.045,0.03,0.463,0.025,0.007,0.107,0.014,0.001,0.627,0.427,0.004,0.152,0.21,0.009,0.069,0.062,0.021,0.075,0.062,0.012,0.01,0.017,0.013,0.029
0.01,0.069,0.015,0.018,0.03,0.073,0.006,0.006,0.009,0.009,0.003,0.006,0.536,0.367,0.085,0.022,0.003,0.01,0.015,0.011,0.025,0.06,0.442,0.005,0.093,0.006,0.025,0.042,0.007,0.018,0.006,0.005,0.007,0.279,0.004,0.014,0.022,0.019,0.019,0.004,0.044,0.002,0.022,0.052,0.006,0.006,0.031,0.009,0.045,0.006,0.01,0.039,0.005,0.088,0.008,0.136,0.009,0.015,0.007,0.043,0.004,0.128,0.022,0.005,0.029,0.03,0.221,0.052,0.036,0.47,0.029,0.007,0.124,0.021,0.001,0.631,0.455,0.004,0.167,0.229,0.011,0.078,0.075,0.029,0.084,0.073,0.018,0.012,0.017,0.016,0.034
0.012,0.074,0.017,0.022,0.037,0.09,0.008,0.008,0.013,0.01,0.006,0.007,0.557,0.386,0.092,0.024,0.004,0.014,0.016,0.012,0.033,0.071,0.46,0.005,0.1,0.007,0.027,0.053,0.007,0.023,0.006,0.007,0.008,0.296,0.004,0.017,0.026,0.026,0.021,0.006,0.05,0.003,0.024,0.062,0.007,0.007,0.038,0.01,0.053,0.006,0.011,0.043,0.007,0.104,0.01,0.148,0.011,0.018,0.007,0.049,0.004,0.143,0.023,0.007,0.032,0.032,0.222,0.058,0.041,0.474,0.034,0.007,0.131,0.023,0.001,0.637,0.475,0.004,0.187,0.253,0.014,0.092,0.083,0.031,0.096,0.08,0.036,0.013,0.018,0.017,0.043
0.017,0.082,0.02,0.027,0.039,0.101,0.008,0.01,0.015,0.01,0.009,0.01,0.588,0.404,0.103,0.026,0.007,0.021,0.017,0.015,0.036,0.076,0.48,0.006,0.106,0.007,0.033,0.062,0.008,0.027,0.008,0.007,0.01,0.321,0.004,0.019,0.032,0.033,0.026,0.009,0.054,0.004,0.027,0.069,0.01,0.01,0.043,0.011,0.058,0.007,0.018,0.047,0.011,0.116,0.013,0.166,0.014,0.019,0.009,0.055,0.004,0.159,0.025,0.008,0.039,0.035,0.221,0.068,0.046,0.481,0.035,0.009,0.145,0.027,0.001,0.643,0.499,0.007,0.204,0.27,0.017,0.099,0.09,0.04,0.102,0.085,0.048,0.018,0.023,0.018,0.05
0.023,0.095,0.021,0.033,0.045,0.116,0.008,0.01,0.017,0.014,0.011,0.013,0.609,0.42,0.12,0.029,0.01,0.027,0.022,0.017,0.04,0.084,0.507,0.006,0.117,0.009,0.041,0.071,0.009,0.033,0.012,0.012,0.012,0.343,0.006,0.024,0.036,0.036,0.033,0.01,0.061,0.006,0.03,0.076,0.014,0.013,0.046,0.014,0.063,0.009,0.022,0.053,0.012,0.131,0.017,0.18,0.017,0.021,0.014,0.065,0.007,0.176,0.027,0.011,0.043,0.041,0.223,0.074,0.054,0.484,0.041,0.01,0.152,0.03,0.001,0.647,0.519,0.009,0.225,0.291,0.024,0.109,0.101,0.046,0.113,0.096,0.065,0.019,0.029,0.022,0.056
0.025,0.104,0.022,0.039,0.057,0.133,0.012,0.014,0.023,0.015,0.011,0.016,0.627,0.439,0.14,0.033,0.013,0.033,0.025,0.02,0.047,0.093,0.531,0.008,0.127,0.01,0.045,0.081,0.012,0.04,0.012,0.014,0.016,0.379,0.007,0.028,0.044,0.04,0.036,0.012,0.069,0.008,0.034,0.088,0.016,0.014,0.054,0.014,0.076,0.011,0.025,0.059,0.014,0.144,0.019,0.2,0.018,0.024,0.017,0.071,0.008,0.186,0.029,0.014,0.047,0.054,0.223,0.081,0.058,0.487,0.045,0.015,0.165,0.034,0.001,0.656,0.538,0.011,0.245,0.313,0.026,0.124,0.112,0.052,0.127,0.109,0.087,0.02,0.036,0.024,0.063
0.031,0.113,0.025,0.044,0.065,0.146,0.018,0.014,0.024,0.016,0.013,0.02,0.649,0.455,0.156,0.038,0.017,0.036,0.032,0.024,0.052,0.105,0.556,0.008,0.137,0.015,0.052,0.093,0.014,0.046,0.013,0.016,0.021,0.398,0.008,0.033,0.057,0.044,0.043,0.014,0.077,0.011,0.034,0.096,0.019,0.018,0.063,0.016,0.088,0.012,0.029,0.062,0.014,0.151,0.021,0.217,0.022,0.027,0.019,0.081,0.009,0.2,0.033,0.018,0.053,0.061,0.22,0.088,0.066,0.49,0.049,0.016,0.18,0.037,0.001,0.661,0.566,0.014,0.264,0.334,0.029,0.14,0.129,0.057,0.136,0.118,0.114,0.025,0.045,0.028,0.067
0.041,0.122,0.028,0.05,0.068,0.161,0.018,0.014,0.031,0.017,0.016,0.023,0.675,0.481,0.181,0.045,0.019,0.046,0.034,0.027,0.056,0.111,0.579,0.009,0.151,0.018,0.061,0.099,0.016,0.05,0.014,0.018,0.022,0.415,0.009,0.036,0.065,0.048,0.052,0.016,0.085,0.016,0.038,0.102,0.02,0.025,0.068,0.018,0.094,0.012,0.034,0.067,0.019,0.161,0.023,0.229,0.024,0.03,0.021,0.087,0.01,0.213,0.034,0.02,0.056,0.067,0.219,0.105,0.07,0.493,0.056,0.021,0.196,0.04,0.002,0.662,0.599,0.017,0.288,0.355,0.038,0.153,0.145,0.068,0.152,0.134,0.139,0.028,0.051,0.031,0.073
