"source_variable","group","max_selection_proportion","selected"
"employment","exposure",0.93,TRUE
"triglycerides","biological",0.92,TRUE
"meds_chol_bp_diabetes_hormone_collapsed","biological",0.91,TRUE
"alcohol_consumption","exposure",0.86,TRUE
"serious_dx","biological",0.81,TRUE
"diabetes_doctor_diagnosed","biological",0.8,TRUE
"smoking_status_refined","exposure",0.78,TRUE
"lpa","biological",0.69,FALSE
"whr","biological",0.68,FALSE
"hba1c","biological",0.64,FALSE
"dbp","biological",0.63,FALSE
"dvt_dx_age","biological",0.63,FALSE
"alp","biological",0.62,FALSE
"mi_dx_age","biological",0.61,FALSE
"highest_qualification","exposure",0.58,FALSE
"platelets","biological",0.57,FALSE
"salt_added","exposure",0.56,FALSE
"heart_problems_collapsed","biological",0.54,FALSE
"pe_dx_age","biological",0.53,FALSE
"no2_2010","exposure",0.53,FALSE
"stroke_dx_age","biological",0.51,FALSE
"household_income","exposure",0.51,FALSE
"housing","exposure",0.48,FALSE
"crp","biological",0.45,FALSE
"monocyte_count","biological",0.45,FALSE
"mh_sought_help","exposure",0.45,FALSE
"neutrophill_count","biological",0.43,FALSE
"breastfed","exposure",0.43,FALSE
"passive_total_hrs","exposure",0.43,FALSE
"angina_dx_age","biological",0.42,FALSE
"total_cholesterol","biological",0.42,FALSE
"ast","biological",0.41,FALSE
"sleep_hrs","exposure",0.41,FALSE
"maternal_smoking_birth","exposure",0.4,FALSE
"urban_rural_3lvl","exposure",0.4,FALSE
"pack_yrs","exposure",0.38,FALSE
"diet_score","exposure",0.37,FALSE
"albumin","biological",0.35,FALSE
"neuroticism_score","exposure",0.35,FALSE
"met_min_week_all","exposure",0.34,FALSE
"apob","biological",0.33,FALSE
"body_fat_mass","biological",0.32,FALSE
"creatinine","biological",0.31,FALSE
"long_ill","biological",0.31,FALSE
"meds_chol_bp_diabetes_collapsed","biological",0.31,FALSE
"lymphocyte_count","biological",0.3,FALSE
"cystatin_c","biological",0.28,FALSE
"hdl_cholesterol","biological",0.27,FALSE
"birth_weight","exposure",0.27,FALSE
"work_job_satisfaction_num","exposure",0.27,FALSE
"grip_strength","biological",0.26,FALSE
"household_size","exposure",0.26,FALSE
"pm10_2010","exposure",0.26,FALSE
"ggt","biological",0.24,FALSE
"sleep_cat","exposure",0.24,FALSE
"comparative_body_size_10","exposure",0.22,FALSE
"insomnia","exposure",0.21,FALSE
"passive_cat","exposure",0.21,FALSE
"alt","biological",0.2,FALSE
"pm2.5_2010","exposure",0.2,FALSE
"heel_bone_density","biological",0.16,FALSE
"apoa1","biological",0.15,FALSE
"wbc","biological",0.15,FALSE
"bilirubin","biological",0.05,FALSE
"ldl_direct","biological",0.04,FALSE
