"feature","selection_proportion","selected","source_variable","group"
"employmentUnemployed",0.93,TRUE,"employment","exposure"
"triglycerides",0.92,TRUE,"triglycerides","biological"
"meds_chol_bp_diabetes_hormone_collapsedYes",0.91,TRUE,"meds_chol_bp_diabetes_hormone_collapsed","biological"
"alcohol_consumptionModerate drinker",0.86,TRUE,"alcohol_consumption","exposure"
"serious_dxYes - you will be asked about this later by an interviewer",0.81,TRUE,"serious_dx","biological"
"diabetes_doctor_diagnosedYes",0.8,TRUE,"diabetes_doctor_diagnosed","biological"
"employmentUnable to work",0.79,TRUE,"employment","exposure"
"smoking_status_refinedFormer_Long",0.78,TRUE,"smoking_status_refined","exposure"
"lpa",0.69,FALSE,"lpa","biological"
"whr",0.68,FALSE,"whr","biological"
"hba1c",0.64,FALSE,"hba1c","biological"
"dbp",0.63,FALSE,"dbp","biological"
"dvt_dx_age",0.63,FALSE,"dvt_dx_age","biological"
"alp",0.62,FALSE,"alp","biological"
"mi_dx_age",0.61,FALSE,"mi_dx_age","biological"
"highest_qualificationO-levels/GCSEs",0.58,FALSE,"highest_qualification","exposure"
"platelets",0.57,FALSE,"platelets","biological"
"salt_addedSometimes",0.56,FALSE,"salt_added","exposure"
"heart_problems_collapsedYes",0.54,FALSE,"heart_problems_collapsed","biological"
"no2_2010",0.53,FALSE,"no2_2010","exposure"
"pe_dx_age",0.53,FALSE,"pe_dx_age","biological"
"household_income31-52k",0.51,FALSE,"household_income","exposure"
"stroke_dx_age",0.51,FALSE,"stroke_dx_age","biological"
"housingRenter",0.48,FALSE,"housing","exposure"
"crp",0.45,FALSE,"crp","biological"
"mh_sought_helpYes",0.45,FALSE,"mh_sought_help","exposure"
"monocyte_count",0.45,FALSE,"monocyte_count","biological"
"breastfedYes",0.43,FALSE,"breastfed","exposure"
"neutrophill_count",0.43,FALSE,"neutrophill_count","biological"
"passive_total_hrs",0.43,FALSE,"passive_total_hrs","exposure"
"angina_dx_age",0.42,FALSE,"angina_dx_age","biological"
"total_cholesterol",0.42,FALSE,"total_cholesterol","biological"
"alcohol_consumptionFormer drinker",0.41,FALSE,"alcohol_consumption","exposure"
"ast",0.41,FALSE,"ast","biological"
"sleep_hrs",0.41,FALSE,"sleep_hrs","exposure"
"alcohol_consumptionSocial drinker",0.4,FALSE,"alcohol_consumption","exposure"
"maternal_smoking_birthYes",0.4,FALSE,"maternal_smoking_birth","exposure"
"urban_rural_3lvlTown",0.4,FALSE,"urban_rural_3lvl","exposure"
"highest_qualificationA-levels",0.38,FALSE,"highest_qualification","exposure"
"highest_qualificationCSEs",0.38,FALSE,"highest_qualification","exposure"
"pack_yrs",0.38,FALSE,"pack_yrs","exposure"
"diet_score",0.37,FALSE,"diet_score","exposure"
"albumin",0.35,FALSE,"albumin","biological"
"household_income>100k",0.35,FALSE,"household_income","exposure"
"housingOther",0.35,FALSE,"housing","exposure"
"neuroticism_score",0.35,FALSE,"neuroticism_score","exposure"
"salt_addedAlways",0.35,FALSE,"salt_added","exposure"
"household_income18-31k",0.34,FALSE,"household_income","exposure"
"met_min_week_all",0.34,FALSE,"met_min_week_all","exposure"
"apob",0.33,FALSE,"apob","biological"
"body_fat_mass",0.32,FALSE,"body_fat_mass","biological"
"creatinine",0.31,FALSE,"creatinine","biological"
"household_income52-100k",0.31,FALSE,"household_income","exposure"
"long_illYes",0.31,FALSE,"long_ill","biological"
"meds_chol_bp_diabetes_collapsedYes",0.31,FALSE,"meds_chol_bp_diabetes_collapsed","biological"
"lymphocyte_count",0.3,FALSE,"lymphocyte_count","biological"
"cystatin_c",0.28,FALSE,"cystatin_c","biological"
"birth_weight",0.27,FALSE,"birth_weight","exposure"
"hdl_cholesterol",0.27,FALSE,"hdl_cholesterol","biological"
"work_job_satisfaction_num",0.27,FALSE,"work_job_satisfaction_num","exposure"
"grip_strength",0.26,FALSE,"grip_strength","biological"
"household_size2 people",0.26,FALSE,"household_size","exposure"
"pm10_2010",0.26,FALSE,"pm10_2010","exposure"
"urban_rural_3lvlRural",0.25,FALSE,"urban_rural_3lvl","exposure"
"ggt",0.24,FALSE,"ggt","biological"
"sleep_catLong",0.24,FALSE,"sleep_cat","exposure"
"employmentOther economically inactive",0.23,FALSE,"employment","exposure"
"comparative_body_size_10Plumper",0.22,FALSE,"comparative_body_size_10","exposure"
"salt_addedUsually",0.22,FALSE,"salt_added","exposure"
"household_size3-5 people",0.21,FALSE,"household_size","exposure"
"insomniaSometimes",0.21,FALSE,"insomnia","exposure"
"insomniaUsually",0.21,FALSE,"insomnia","exposure"
"passive_catHigh",0.21,FALSE,"passive_cat","exposure"
"alt",0.2,FALSE,"alt","biological"
"employmentRetired",0.2,FALSE,"employment","exposure"
"highest_qualificationVocational (NVQ/HND/HNC)",0.2,FALSE,"highest_qualification","exposure"
"pm2.5_2010",0.2,FALSE,"pm2.5_2010","exposure"
"smoking_status_refinedFormer_Recent",0.2,FALSE,"smoking_status_refined","exposure"
"comparative_body_size_10About average",0.19,FALSE,"comparative_body_size_10","exposure"
"household_size6+ people",0.19,FALSE,"household_size","exposure"
"highest_qualificationProfessional (nursing/teaching)",0.18,FALSE,"highest_qualification","exposure"
"passive_catLow",0.17,FALSE,"passive_cat","exposure"
"heel_bone_density",0.16,FALSE,"heel_bone_density","biological"
"apoa1",0.15,FALSE,"apoa1","biological"
"wbc",0.15,FALSE,"wbc","biological"
"highest_qualificationUniversity degree",0.14,FALSE,"highest_qualification","exposure"
"smoking_status_refinedCurrent",0.13,FALSE,"smoking_status_refined","exposure"
"alcohol_consumptionDaily drinker",0.11,FALSE,"alcohol_consumption","exposure"
"sleep_catShort",0.09,FALSE,"sleep_cat","exposure"
"bilirubin",0.05,FALSE,"bilirubin","biological"
"ldl_direct",0.04,FALSE,"ldl_direct","biological"
