"source_variable","group","max_selection_proportion","selected"
"smoking_status_refined","exposure",1,TRUE
"alcohol_consumption","exposure",0.95,TRUE
"triglycerides","biological",0.91,TRUE
"salt_added","exposure",0.9,TRUE
"employment","exposure",0.84,TRUE
"crp","biological",0.73,FALSE
"pm10_2010","exposure",0.73,FALSE
"mh_sought_help","exposure",0.67,FALSE
"housing","exposure",0.63,FALSE
"total_cholesterol","biological",0.54,FALSE
"pm2.5_2010","exposure",0.53,FALSE
"comparative_body_size_10","exposure",0.52,FALSE
"highest_qualification","exposure",0.52,FALSE
"whr","biological",0.51,FALSE
"household_income","exposure",0.5,FALSE
"breastfed","exposure",0.49,FALSE
"birth_weight","exposure",0.48,FALSE
"grip_strength","biological",0.45,FALSE
"met_min_week_all","exposure",0.44,FALSE
"pack_yrs","exposure",0.43,FALSE
"dbp","biological",0.42,FALSE
"apob","biological",0.41,FALSE
"ast","biological",0.39,FALSE
"neuroticism_score","exposure",0.39,FALSE
"urban_rural_3lvl","exposure",0.39,FALSE
"maternal_smoking_birth","exposure",0.38,FALSE
"monocyte_count","biological",0.35,FALSE
"household_size","exposure",0.35,FALSE
"passive_total_hrs","exposure",0.34,FALSE
"work_job_satisfaction_num","exposure",0.34,FALSE
"hba1c","biological",0.33,FALSE
"lymphocyte_count","biological",0.33,FALSE
"platelets","biological",0.3,FALSE
"creatinine","biological",0.28,FALSE
"ggt","biological",0.28,FALSE
"heel_bone_density","biological",0.28,FALSE
"cystatin_c","biological",0.27,FALSE
"insomnia","exposure",0.26,FALSE
"no2_2010","exposure",0.25,FALSE
"alt","biological",0.24,FALSE
"body_fat_mass","biological",0.24,FALSE
"diet_score","exposure",0.24,FALSE
"albumin","biological",0.23,FALSE
"alp","biological",0.21,FALSE
"apoa1","biological",0.21,FALSE
"neutrophill_count","biological",0.2,FALSE
"sleep_cat","exposure",0.19,FALSE
"sleep_hrs","exposure",0.16,FALSE
"hdl_cholesterol","biological",0.14,FALSE
"passive_cat","exposure",0.14,FALSE
"wbc","biological",0.11,FALSE
"lpa","biological",0.04,FALSE
"bilirubin","biological",0.03,FALSE
"ldl_direct","biological",0,FALSE
