"feature","selection_proportion"
"household_income18-31k",0.34
"household_income31-52k",0.26
"household_income52-100k",0.5
"household_income>100k",0.26
"highest_qualificationCSEs",0.23
"highest_qualificationO-levels/GCSEs",0.46
"highest_qualificationProfessional (nursing/teaching)",0.27
"highest_qualificationVocational (NVQ/HND/HNC)",0.52
"highest_qualificationA-levels",0.25
"highest_qualificationUniversity degree",0.42
"employmentRetired",0.18
"employmentOther economically inactive",0.14
"employmentUnemployed",0.84
"employmentUnable to work",0.65
"housingRenter",0.63
"housingOther",0.3
"household_size2 people",0.35
"household_size3-5 people",0.17
"household_size6+ people",0.23
"diet_score",0.24
"alcohol_consumptionFormer drinker",0.95
"alcohol_consumptionSocial drinker",0.29
"alcohol_consumptionModerate drinker",0.22
"alcohol_consumptionDaily drinker",0.47
"salt_addedSometimes",0.9
"salt_addedUsually",0.22
"salt_addedAlways",0.24
"sleep_hrs",0.16
"sleep_catShort",0.19
"sleep_catLong",0.14
"insomniaSometimes",0.24
"insomniaUsually",0.26
"smoking_status_refinedFormer_Recent",1
"smoking_status_refinedFormer_Long",1
"smoking_status_refinedCurrent",0.42
"pack_yrs",0.43
"passive_total_hrs",0.34
"passive_catLow",0.1
"passive_catHigh",0.14
"met_min_week_all",0.44
"mh_sought_helpYes",0.67
"work_job_satisfaction_num",0.34
"neuroticism_score",0.39
"breastfedYes",0.49
"comparative_body_size_10About average",0.52
"comparative_body_size_10Plumper",0.16
"maternal_smoking_birthYes",0.38
"birth_weight",0.48
"no2_2010",0.25
"pm2.5_2010",0.53
"pm10_2010",0.73
"urban_rural_3lvlTown",0.24
"urban_rural_3lvlRural",0.39
"dbp",0.42
"grip_strength",0.45
"whr",0.51
"heel_bone_density",0.28
"body_fat_mass",0.24
"wbc",0.11
"platelets",0.3
"albumin",0.23
"alp",0.21
"alt",0.24
"apoa1",0.21
"apob",0.41
"ast",0.39
"bilirubin",0.03
"total_cholesterol",0.54
"creatinine",0.28
"crp",0.73
"cystatin_c",0.27
"ggt",0.28
"hba1c",0.33
"hdl_cholesterol",0.14
"ldl_direct",0
"lpa",0.04
"triglycerides",0.91
"neutrophill_count",0.2
"lymphocyte_count",0.33
"monocyte_count",0.35
