"feature","selection_proportion","selected","source_variable","group"
"smoking_status_refinedFormer_Long",1,TRUE,"smoking_status_refined","exposure"
"smoking_status_refinedFormer_Recent",1,TRUE,"smoking_status_refined","exposure"
"alcohol_consumptionFormer drinker",0.95,TRUE,"alcohol_consumption","exposure"
"triglycerides",0.91,TRUE,"triglycerides","biological"
"salt_addedSometimes",0.9,TRUE,"salt_added","exposure"
"employmentUnemployed",0.84,TRUE,"employment","exposure"
"crp",0.73,FALSE,"crp","biological"
"pm10_2010",0.73,FALSE,"pm10_2010","exposure"
"mh_sought_helpYes",0.67,FALSE,"mh_sought_help","exposure"
"employmentUnable to work",0.65,FALSE,"employment","exposure"
"housingRenter",0.63,FALSE,"housing","exposure"
"total_cholesterol",0.54,FALSE,"total_cholesterol","biological"
"pm2.5_2010",0.53,FALSE,"pm2.5_2010","exposure"
"comparative_body_size_10About average",0.52,FALSE,"comparative_body_size_10","exposure"
"highest_qualificationVocational (NVQ/HND/HNC)",0.52,FALSE,"highest_qualification","exposure"
"whr",0.51,FALSE,"whr","biological"
"household_income52-100k",0.5,FALSE,"household_income","exposure"
"breastfedYes",0.49,FALSE,"breastfed","exposure"
"birth_weight",0.48,FALSE,"birth_weight","exposure"
"alcohol_consumptionDaily drinker",0.47,FALSE,"alcohol_consumption","exposure"
"highest_qualificationO-levels/GCSEs",0.46,FALSE,"highest_qualification","exposure"
"grip_strength",0.45,FALSE,"grip_strength","biological"
"met_min_week_all",0.44,FALSE,"met_min_week_all","exposure"
"pack_yrs",0.43,FALSE,"pack_yrs","exposure"
"dbp",0.42,FALSE,"dbp","biological"
"highest_qualificationUniversity degree",0.42,FALSE,"highest_qualification","exposure"
"smoking_status_refinedCurrent",0.42,FALSE,"smoking_status_refined","exposure"
"apob",0.41,FALSE,"apob","biological"
"ast",0.39,FALSE,"ast","biological"
"neuroticism_score",0.39,FALSE,"neuroticism_score","exposure"
"urban_rural_3lvlRural",0.39,FALSE,"urban_rural_3lvl","exposure"
"maternal_smoking_birthYes",0.38,FALSE,"maternal_smoking_birth","exposure"
"household_size2 people",0.35,FALSE,"household_size","exposure"
"monocyte_count",0.35,FALSE,"monocyte_count","biological"
"household_income18-31k",0.34,FALSE,"household_income","exposure"
"passive_total_hrs",0.34,FALSE,"passive_total_hrs","exposure"
"work_job_satisfaction_num",0.34,FALSE,"work_job_satisfaction_num","exposure"
"hba1c",0.33,FALSE,"hba1c","biological"
"lymphocyte_count",0.33,FALSE,"lymphocyte_count","biological"
"housingOther",0.3,FALSE,"housing","exposure"
"platelets",0.3,FALSE,"platelets","biological"
"alcohol_consumptionSocial drinker",0.29,FALSE,"alcohol_consumption","exposure"
"creatinine",0.28,FALSE,"creatinine","biological"
"ggt",0.28,FALSE,"ggt","biological"
"heel_bone_density",0.28,FALSE,"heel_bone_density","biological"
"cystatin_c",0.27,FALSE,"cystatin_c","biological"
"highest_qualificationProfessional (nursing/teaching)",0.27,FALSE,"highest_qualification","exposure"
"household_income31-52k",0.26,FALSE,"household_income","exposure"
"household_income>100k",0.26,FALSE,"household_income","exposure"
"insomniaUsually",0.26,FALSE,"insomnia","exposure"
"highest_qualificationA-levels",0.25,FALSE,"highest_qualification","exposure"
"no2_2010",0.25,FALSE,"no2_2010","exposure"
"alt",0.24,FALSE,"alt","biological"
"body_fat_mass",0.24,FALSE,"body_fat_mass","biological"
"diet_score",0.24,FALSE,"diet_score","exposure"
"insomniaSometimes",0.24,FALSE,"insomnia","exposure"
"salt_addedAlways",0.24,FALSE,"salt_added","exposure"
"urban_rural_3lvlTown",0.24,FALSE,"urban_rural_3lvl","exposure"
"albumin",0.23,FALSE,"albumin","biological"
"highest_qualificationCSEs",0.23,FALSE,"highest_qualification","exposure"
"household_size6+ people",0.23,FALSE,"household_size","exposure"
"alcohol_consumptionModerate drinker",0.22,FALSE,"alcohol_consumption","exposure"
"salt_addedUsually",0.22,FALSE,"salt_added","exposure"
"alp",0.21,FALSE,"alp","biological"
"apoa1",0.21,FALSE,"apoa1","biological"
"neutrophill_count",0.2,FALSE,"neutrophill_count","biological"
"sleep_catShort",0.19,FALSE,"sleep_cat","exposure"
"employmentRetired",0.18,FALSE,"employment","exposure"
"household_size3-5 people",0.17,FALSE,"household_size","exposure"
"comparative_body_size_10Plumper",0.16,FALSE,"comparative_body_size_10","exposure"
"sleep_hrs",0.16,FALSE,"sleep_hrs","exposure"
"employmentOther economically inactive",0.14,FALSE,"employment","exposure"
"hdl_cholesterol",0.14,FALSE,"hdl_cholesterol","biological"
"passive_catHigh",0.14,FALSE,"passive_cat","exposure"
"sleep_catLong",0.14,FALSE,"sleep_cat","exposure"
"wbc",0.11,FALSE,"wbc","biological"
"passive_catLow",0.1,FALSE,"passive_cat","exposure"
"lpa",0.04,FALSE,"lpa","biological"
"bilirubin",0.03,FALSE,"bilirubin","biological"
"ldl_direct",0,FALSE,"ldl_direct","biological"
