"household_income18-31k","household_income31-52k","household_income52-100k","household_income>100k","highest_qualificationCSEs","highest_qualificationO-levels/GCSEs","highest_qualificationProfessional (nursing/teaching)","highest_qualificationVocational (NVQ/HND/HNC)","highest_qualificationA-levels","highest_qualificationUniversity degree","employmentRetired","employmentOther economically inactive","employmentUnemployed","employmentUnable to work","housingRenter","housingOther","household_size2 people","household_size3-5 people","household_size6+ people","diet_score","alcohol_consumptionFormer drinker","alcohol_consumptionSocial drinker","alcohol_consumptionModerate drinker","alcohol_consumptionDaily drinker","salt_addedSometimes","salt_addedUsually","salt_addedAlways","sleep_hrs","sleep_catShort","sleep_catLong","insomniaSometimes","insomniaUsually","smoking_status_refinedFormer_Recent","smoking_status_refinedFormer_Long","smoking_status_refinedCurrent","pack_yrs","passive_total_hrs","passive_catLow","passive_catHigh","met_min_week_all","mh_sought_helpYes","work_job_satisfaction_num","neuroticism_score","breastfedYes","comparative_body_size_10About average","comparative_body_size_10Plumper","maternal_smoking_birthYes","birth_weight","no2_2010","pm2.5_2010","pm10_2010","urban_rural_3lvlTown","urban_rural_3lvlRural","dbp","grip_strength","whr","heel_bone_density","body_fat_mass","wbc","platelets","albumin","alp","alt","apoa1","apob","ast","bilirubin","total_cholesterol","creatinine","crp","cystatin_c","ggt","hba1c","hdl_cholesterol","ldl_direct","lpa","triglycerides","neutrophill_count","lymphocyte_count","monocyte_count"
0.6,0.54,0.73,0.51,0.49,0.63,0.49,0.65,0.4,0.54,0.4,0.29,0.93,0.8,0.8,0.47,0.52,0.32,0.43,0.55,1,0.38,0.35,0.56,0.96,0.42,0.39,0.32,0.38,0.25,0.45,0.5,1,1,0.59,0.6,0.54,0.27,0.23,0.69,0.81,0.54,0.62,0.66,0.72,0.31,0.59,0.68,0.5,0.7,0.88,0.48,0.53,0.65,0.69,0.72,0.54,0.41,0.15,0.5,0.47,0.43,0.46,0.39,0.56,0.64,0,0.67,0.48,0.84,0.42,0.47,0.52,0.34,0.02,0.05,0.98,0.43,0.52,0.6
0.59,0.52,0.72,0.51,0.49,0.63,0.49,0.64,0.4,0.54,0.4,0.29,0.93,0.8,0.8,0.47,0.52,0.3,0.43,0.55,1,0.38,0.34,0.56,0.96,0.42,0.39,0.31,0.38,0.25,0.45,0.49,1,1,0.59,0.6,0.54,0.27,0.23,0.67,0.81,0.53,0.62,0.66,0.72,0.31,0.58,0.68,0.49,0.7,0.88,0.48,0.53,0.64,0.69,0.72,0.53,0.41,0.14,0.48,0.46,0.43,0.46,0.39,0.56,0.64,0,0.67,0.47,0.84,0.42,0.45,0.52,0.34,0.02,0.05,0.98,0.42,0.52,0.6
0.59,0.51,0.72,0.5,0.49,0.63,0.48,0.64,0.4,0.54,0.39,0.28,0.93,0.8,0.8,0.47,0.52,0.3,0.42,0.52,1,0.38,0.33,0.56,0.96,0.42,0.38,0.31,0.38,0.24,0.44,0.49,1,1,0.59,0.6,0.54,0.25,0.23,0.66,0.81,0.53,0.62,0.66,0.71,0.31,0.57,0.66,0.49,0.7,0.88,0.48,0.53,0.64,0.69,0.71,0.51,0.41,0.14,0.48,0.46,0.41,0.45,0.39,0.56,0.64,0,0.67,0.47,0.84,0.42,0.44,0.5,0.34,0.02,0.05,0.98,0.42,0.52,0.59
0.58,0.51,0.72,0.5,0.48,0.63,0.47,0.64,0.4,0.53,0.39,0.28,0.93,0.8,0.79,0.46,0.51,0.3,0.42,0.52,1,0.37,0.33,0.56,0.96,0.42,0.38,0.31,0.38,0.23,0.43,0.48,1,1,0.58,0.6,0.51,0.25,0.23,0.66,0.81,0.53,0.62,0.66,0.71,0.31,0.56,0.65,0.48,0.69,0.88,0.48,0.53,0.63,0.69,0.71,0.51,0.39,0.14,0.47,0.46,0.39,0.43,0.39,0.56,0.63,0,0.66,0.46,0.84,0.42,0.44,0.5,0.33,0.02,0.05,0.98,0.41,0.51,0.59
0.58,0.51,0.71,0.5,0.47,0.63,0.46,0.64,0.39,0.53,0.38,0.28,0.93,0.8,0.79,0.45,0.51,0.29,0.42,0.51,1,0.36,0.33,0.56,0.96,0.42,0.38,0.3,0.37,0.23,0.43,0.48,1,1,0.58,0.6,0.51,0.24,0.23,0.66,0.81,0.52,0.61,0.66,0.71,0.31,0.55,0.65,0.47,0.69,0.88,0.48,0.52,0.63,0.68,0.71,0.51,0.39,0.14,0.47,0.43,0.39,0.43,0.39,0.55,0.63,0,0.65,0.44,0.84,0.41,0.44,0.5,0.33,0.02,0.05,0.98,0.41,0.51,0.59
0.58,0.51,0.71,0.49,0.47,0.63,0.46,0.63,0.39,0.53,0.38,0.28,0.93,0.8,0.79,0.44,0.5,0.29,0.42,0.49,1,0.36,0.32,0.56,0.96,0.41,0.38,0.3,0.36,0.23,0.43,0.48,1,1,0.58,0.6,0.5,0.24,0.23,0.66,0.81,0.52,0.6,0.64,0.71,0.31,0.55,0.65,0.47,0.69,0.87,0.48,0.52,0.62,0.68,0.71,0.51,0.39,0.14,0.47,0.42,0.39,0.43,0.39,0.54,0.63,0,0.65,0.44,0.84,0.41,0.42,0.49,0.33,0.02,0.05,0.98,0.41,0.5,0.58
0.58,0.51,0.7,0.49,0.47,0.62,0.46,0.63,0.39,0.53,0.38,0.28,0.93,0.8,0.79,0.44,0.49,0.28,0.41,0.49,1,0.36,0.32,0.56,0.96,0.41,0.38,0.28,0.36,0.22,0.43,0.47,1,1,0.58,0.6,0.5,0.23,0.23,0.66,0.81,0.51,0.6,0.64,0.7,0.29,0.55,0.65,0.46,0.69,0.87,0.48,0.52,0.62,0.68,0.71,0.51,0.38,0.14,0.47,0.42,0.37,0.43,0.38,0.53,0.62,0,0.64,0.44,0.84,0.39,0.42,0.49,0.33,0.02,0.05,0.98,0.4,0.48,0.57
0.57,0.5,0.7,0.49,0.46,0.62,0.46,0.63,0.38,0.53,0.37,0.28,0.93,0.78,0.78,0.43,0.49,0.28,0.41,0.49,1,0.35,0.32,0.55,0.96,0.41,0.38,0.27,0.36,0.22,0.42,0.46,1,1,0.58,0.6,0.5,0.23,0.23,0.66,0.81,0.51,0.6,0.64,0.7,0.28,0.53,0.65,0.46,0.69,0.87,0.46,0.52,0.62,0.68,0.71,0.51,0.38,0.14,0.47,0.41,0.37,0.43,0.38,0.53,0.62,0,0.64,0.43,0.84,0.38,0.42,0.49,0.33,0.02,0.05,0.98,0.38,0.48,0.57
0.56,0.49,0.7,0.49,0.42,0.61,0.46,0.63,0.38,0.53,0.37,0.28,0.92,0.78,0.78,0.43,0.49,0.28,0.41,0.48,1,0.35,0.31,0.55,0.96,0.41,0.37,0.27,0.35,0.22,0.42,0.45,1,1,0.58,0.58,0.5,0.22,0.23,0.66,0.81,0.51,0.59,0.64,0.7,0.28,0.52,0.65,0.46,0.69,0.86,0.45,0.52,0.62,0.67,0.71,0.5,0.37,0.14,0.47,0.39,0.37,0.43,0.38,0.53,0.62,0,0.64,0.43,0.84,0.38,0.42,0.49,0.33,0.02,0.05,0.98,0.38,0.47,0.56
0.55,0.49,0.69,0.48,0.41,0.61,0.46,0.63,0.38,0.52,0.37,0.27,0.92,0.78,0.75,0.42,0.49,0.28,0.41,0.47,1,0.35,0.3,0.55,0.96,0.4,0.36,0.27,0.35,0.21,0.42,0.43,1,1,0.58,0.58,0.5,0.22,0.23,0.66,0.81,0.51,0.58,0.64,0.7,0.28,0.52,0.65,0.46,0.69,0.85,0.45,0.52,0.61,0.66,0.7,0.49,0.37,0.14,0.47,0.39,0.37,0.43,0.37,0.53,0.62,0,0.64,0.43,0.83,0.38,0.42,0.49,0.31,0.02,0.05,0.98,0.37,0.46,0.56
