"feature","selection_proportion"
"household_income18-31k",0.01
"household_income31-52k",0.01
"household_income52-100k",0
"household_income>100k",0
"highest_qualificationCSEs",0.03
"highest_qualificationO-levels/GCSEs",0.15
"highest_qualificationProfessional (nursing/teaching)",0.01
"highest_qualificationVocational (NVQ/HND/HNC)",0.09
"highest_qualificationA-levels",0
"highest_qualificationUniversity degree",0.41
"employmentRetired",0.27
"employmentOther economically inactive",0
"employmentUnemployed",0.1
"employmentUnable to work",0.02
"housingRenter",0.01
"housingOther",0.01
"household_size2 people",0
"household_size3-5 people",0.01
"household_size6+ people",0.01
"diet_score",0.16
"alcohol_consumptionFormer drinker",0.1
"alcohol_consumptionSocial drinker",0
"alcohol_consumptionModerate drinker",0.01
"alcohol_consumptionDaily drinker",0
"salt_addedSometimes",0
"salt_addedUsually",0.03
"salt_addedAlways",0.01
"sleep_hrs",0.01
"sleep_catShort",0
"sleep_catLong",0.05
"insomniaSometimes",0
"insomniaUsually",0
"smoking_status_refinedFormer_Recent",0.71
"smoking_status_refinedFormer_Long",1
"smoking_status_refinedCurrent",0.06
"pack_yrs",0.07
"passive_total_hrs",0.01
"passive_catLow",0
"passive_catHigh",0
"met_min_week_all",0
"mh_sought_helpYes",0.02
"work_job_satisfaction_num",0
"neuroticism_score",0.06
"breastfedYes",0.07
"comparative_body_size_10About average",0.01
"comparative_body_size_10Plumper",0
"maternal_smoking_birthYes",0.03
"birth_weight",0.02
"no2_2010",0.04
"pm2.5_2010",0.04
"pm10_2010",0
"urban_rural_3lvlTown",0.24
"urban_rural_3lvlRural",0.08
"dbp",0.02
"grip_strength",0
"whr",0.04
"heel_bone_density",0.02
"body_fat_mass",0
"wbc",0
"platelets",0.06
"albumin",0
"alp",0.32
"alt",0.01
"apoa1",0.01
"apob",0.01
"ast",0.02
"bilirubin",0.36
"total_cholesterol",0.01
"creatinine",0.13
"crp",0.2
"cystatin_c",0.12
"ggt",0.01
"hba1c",0.08
"hdl_cholesterol",0
"ldl_direct",0.02
"lpa",0.18
"triglycerides",0.06
"neutrophill_count",0.02
"lymphocyte_count",0.01
"monocyte_count",0.01
