"feature","selection_proportion","selected","source_variable","group"
"smoking_status_refinedFormer_Long",1,TRUE,"smoking_status_refined","exposure"
"smoking_status_refinedFormer_Recent",0.71,FALSE,"smoking_status_refined","exposure"
"highest_qualificationUniversity degree",0.41,FALSE,"highest_qualification","exposure"
"bilirubin",0.36,FALSE,"bilirubin","biological"
"alp",0.32,FALSE,"alp","biological"
"employmentRetired",0.27,FALSE,"employment","exposure"
"urban_rural_3lvlTown",0.24,FALSE,"urban_rural_3lvl","exposure"
"crp",0.2,FALSE,"crp","biological"
"lpa",0.18,FALSE,"lpa","biological"
"diet_score",0.16,FALSE,"diet_score","exposure"
"highest_qualificationO-levels/GCSEs",0.15,FALSE,"highest_qualification","exposure"
"creatinine",0.13,FALSE,"creatinine","biological"
"cystatin_c",0.12,FALSE,"cystatin_c","biological"
"alcohol_consumptionFormer drinker",0.1,FALSE,"alcohol_consumption","exposure"
"employmentUnemployed",0.1,FALSE,"employment","exposure"
"highest_qualificationVocational (NVQ/HND/HNC)",0.09,FALSE,"highest_qualification","exposure"
"hba1c",0.08,FALSE,"hba1c","biological"
"urban_rural_3lvlRural",0.08,FALSE,"urban_rural_3lvl","exposure"
"breastfedYes",0.07,FALSE,"breastfed","exposure"
"pack_yrs",0.07,FALSE,"pack_yrs","exposure"
"neuroticism_score",0.06,FALSE,"neuroticism_score","exposure"
"platelets",0.06,FALSE,"platelets","biological"
"smoking_status_refinedCurrent",0.06,FALSE,"smoking_status_refined","exposure"
"triglycerides",0.06,FALSE,"triglycerides","biological"
"sleep_catLong",0.05,FALSE,"sleep_cat","exposure"
"no2_2010",0.04,FALSE,"no2_2010","exposure"
"pm2.5_2010",0.04,FALSE,"pm2.5_2010","exposure"
"whr",0.04,FALSE,"whr","biological"
"highest_qualificationCSEs",0.03,FALSE,"highest_qualification","exposure"
"maternal_smoking_birthYes",0.03,FALSE,"maternal_smoking_birth","exposure"
"salt_addedUsually",0.03,FALSE,"salt_added","exposure"
"ast",0.02,FALSE,"ast","biological"
"birth_weight",0.02,FALSE,"birth_weight","exposure"
"dbp",0.02,FALSE,"dbp","biological"
"employmentUnable to work",0.02,FALSE,"employment","exposure"
"heel_bone_density",0.02,FALSE,"heel_bone_density","biological"
"ldl_direct",0.02,FALSE,"ldl_direct","biological"
"mh_sought_helpYes",0.02,FALSE,"mh_sought_help","exposure"
"neutrophill_count",0.02,FALSE,"neutrophill_count","biological"
"alcohol_consumptionModerate drinker",0.01,FALSE,"alcohol_consumption","exposure"
"alt",0.01,FALSE,"alt","biological"
"apoa1",0.01,FALSE,"apoa1","biological"
"apob",0.01,FALSE,"apob","biological"
"comparative_body_size_10About average",0.01,FALSE,"comparative_body_size_10","exposure"
"ggt",0.01,FALSE,"ggt","biological"
"highest_qualificationProfessional (nursing/teaching)",0.01,FALSE,"highest_qualification","exposure"
"household_income18-31k",0.01,FALSE,"household_income","exposure"
"household_income31-52k",0.01,FALSE,"household_income","exposure"
"household_size3-5 people",0.01,FALSE,"household_size","exposure"
"household_size6+ people",0.01,FALSE,"household_size","exposure"
"housingOther",0.01,FALSE,"housing","exposure"
"housingRenter",0.01,FALSE,"housing","exposure"
"lymphocyte_count",0.01,FALSE,"lymphocyte_count","biological"
"monocyte_count",0.01,FALSE,"monocyte_count","biological"
"passive_total_hrs",0.01,FALSE,"passive_total_hrs","exposure"
"salt_addedAlways",0.01,FALSE,"salt_added","exposure"
"sleep_hrs",0.01,FALSE,"sleep_hrs","exposure"
"total_cholesterol",0.01,FALSE,"total_cholesterol","biological"
"albumin",0,FALSE,"albumin","biological"
"alcohol_consumptionDaily drinker",0,FALSE,"alcohol_consumption","exposure"
"alcohol_consumptionSocial drinker",0,FALSE,"alcohol_consumption","exposure"
"body_fat_mass",0,FALSE,"body_fat_mass","biological"
"comparative_body_size_10Plumper",0,FALSE,"comparative_body_size_10","exposure"
"employmentOther economically inactive",0,FALSE,"employment","exposure"
"grip_strength",0,FALSE,"grip_strength","biological"
"hdl_cholesterol",0,FALSE,"hdl_cholesterol","biological"
"highest_qualificationA-levels",0,FALSE,"highest_qualification","exposure"
"household_income52-100k",0,FALSE,"household_income","exposure"
"household_income>100k",0,FALSE,"household_income","exposure"
"household_size2 people",0,FALSE,"household_size","exposure"
"insomniaSometimes",0,FALSE,"insomnia","exposure"
"insomniaUsually",0,FALSE,"insomnia","exposure"
"met_min_week_all",0,FALSE,"met_min_week_all","exposure"
"passive_catHigh",0,FALSE,"passive_cat","exposure"
"passive_catLow",0,FALSE,"passive_cat","exposure"
"pm10_2010",0,FALSE,"pm10_2010","exposure"
"salt_addedSometimes",0,FALSE,"salt_added","exposure"
"sleep_catShort",0,FALSE,"sleep_cat","exposure"
"wbc",0,FALSE,"wbc","biological"
"work_job_satisfaction_num",0,FALSE,"work_job_satisfaction_num","exposure"
