"feature","selection_proportion"
"household_income18-31k",0.38
"household_income31-52k",0.3
"household_income52-100k",0.47
"household_income>100k",0.19
"highest_qualificationCSEs",0.33
"highest_qualificationO-levels/GCSEs",0.56
"highest_qualificationProfessional (nursing/teaching)",0.16
"highest_qualificationVocational (NVQ/HND/HNC)",0.19
"highest_qualificationA-levels",0.35
"highest_qualificationUniversity degree",0.14
"employmentRetired",0.2
"employmentOther economically inactive",0.18
"employmentUnemployed",0.86
"employmentUnable to work",0.71
"housingRenter",0.8
"housingOther",0.28
"household_size2 people",0.21
"household_size3-5 people",0.14
"household_size6+ people",0.15
"diet_score",0.41
"alcohol_consumptionFormer drinker",0.66
"alcohol_consumptionSocial drinker",0.41
"alcohol_consumptionModerate drinker",0.49
"alcohol_consumptionDaily drinker",0.21
"salt_addedSometimes",0.78
"salt_addedUsually",0.18
"salt_addedAlways",0.31
"sleep_hrs",0.26
"sleep_catShort",0.1
"sleep_catLong",0.28
"insomniaSometimes",0.22
"insomniaUsually",0.19
"smoking_status_refinedFormer_Recent",0.26
"smoking_status_refinedFormer_Long",0.84
"smoking_status_refinedCurrent",0.08
"pack_yrs",0.31
"passive_total_hrs",0.5
"passive_catLow",0.11
"passive_catHigh",0.16
"met_min_week_all",0.22
"mh_sought_helpYes",0.3
"work_job_satisfaction_num",0.37
"neuroticism_score",0.31
"breastfedYes",0.2
"comparative_body_size_10About average",0.62
"comparative_body_size_10Plumper",0.11
"maternal_smoking_birthYes",0.38
"birth_weight",0.25
"no2_2010",0.47
"pm2.5_2010",0.15
"pm10_2010",0.25
"urban_rural_3lvlTown",0.32
"urban_rural_3lvlRural",0.15
"dbp",0.59
"grip_strength",0.22
"whr",0.67
"heel_bone_density",0.16
"body_fat_mass",0.26
"wbc",0.15
"platelets",0.53
"albumin",0.29
"alp",0.52
"alt",0.21
"apoa1",0.14
"apob",0.34
"ast",0.37
"bilirubin",0.2
"total_cholesterol",0.4
"creatinine",0.28
"crp",0.73
"cystatin_c",0.25
"ggt",0.28
"hba1c",0.56
"hdl_cholesterol",0.24
"ldl_direct",0.03
"lpa",0.34
"triglycerides",0.96
"neutrophill_count",0.41
"lymphocyte_count",0.3
"monocyte_count",0.41
