"feature","selection_proportion","selected","source_variable","group"
"triglycerides",0.96,TRUE,"triglycerides","biological"
"employmentUnemployed",0.86,TRUE,"employment","exposure"
"smoking_status_refinedFormer_Long",0.84,TRUE,"smoking_status_refined","exposure"
"housingRenter",0.8,TRUE,"housing","exposure"
"salt_addedSometimes",0.78,TRUE,"salt_added","exposure"
"crp",0.73,FALSE,"crp","biological"
"employmentUnable to work",0.71,FALSE,"employment","exposure"
"whr",0.67,FALSE,"whr","biological"
"alcohol_consumptionFormer drinker",0.66,FALSE,"alcohol_consumption","exposure"
"comparative_body_size_10About average",0.62,FALSE,"comparative_body_size_10","exposure"
"dbp",0.59,FALSE,"dbp","biological"
"hba1c",0.56,FALSE,"hba1c","biological"
"highest_qualificationO-levels/GCSEs",0.56,FALSE,"highest_qualification","exposure"
"platelets",0.53,FALSE,"platelets","biological"
"alp",0.52,FALSE,"alp","biological"
"passive_total_hrs",0.5,FALSE,"passive_total_hrs","exposure"
"alcohol_consumptionModerate drinker",0.49,FALSE,"alcohol_consumption","exposure"
"household_income52-100k",0.47,FALSE,"household_income","exposure"
"no2_2010",0.47,FALSE,"no2_2010","exposure"
"alcohol_consumptionSocial drinker",0.41,FALSE,"alcohol_consumption","exposure"
"diet_score",0.41,FALSE,"diet_score","exposure"
"monocyte_count",0.41,FALSE,"monocyte_count","biological"
"neutrophill_count",0.41,FALSE,"neutrophill_count","biological"
"total_cholesterol",0.4,FALSE,"total_cholesterol","biological"
"household_income18-31k",0.38,FALSE,"household_income","exposure"
"maternal_smoking_birthYes",0.38,FALSE,"maternal_smoking_birth","exposure"
"ast",0.37,FALSE,"ast","biological"
"work_job_satisfaction_num",0.37,FALSE,"work_job_satisfaction_num","exposure"
"highest_qualificationA-levels",0.35,FALSE,"highest_qualification","exposure"
"apob",0.34,FALSE,"apob","biological"
"lpa",0.34,FALSE,"lpa","biological"
"highest_qualificationCSEs",0.33,FALSE,"highest_qualification","exposure"
"urban_rural_3lvlTown",0.32,FALSE,"urban_rural_3lvl","exposure"
"neuroticism_score",0.31,FALSE,"neuroticism_score","exposure"
"pack_yrs",0.31,FALSE,"pack_yrs","exposure"
"salt_addedAlways",0.31,FALSE,"salt_added","exposure"
"household_income31-52k",0.3,FALSE,"household_income","exposure"
"lymphocyte_count",0.3,FALSE,"lymphocyte_count","biological"
"mh_sought_helpYes",0.3,FALSE,"mh_sought_help","exposure"
"albumin",0.29,FALSE,"albumin","biological"
"creatinine",0.28,FALSE,"creatinine","biological"
"ggt",0.28,FALSE,"ggt","biological"
"housingOther",0.28,FALSE,"housing","exposure"
"sleep_catLong",0.28,FALSE,"sleep_cat","exposure"
"body_fat_mass",0.26,FALSE,"body_fat_mass","biological"
"sleep_hrs",0.26,FALSE,"sleep_hrs","exposure"
"smoking_status_refinedFormer_Recent",0.26,FALSE,"smoking_status_refined","exposure"
"birth_weight",0.25,FALSE,"birth_weight","exposure"
"cystatin_c",0.25,FALSE,"cystatin_c","biological"
"pm10_2010",0.25,FALSE,"pm10_2010","exposure"
"hdl_cholesterol",0.24,FALSE,"hdl_cholesterol","biological"
"grip_strength",0.22,FALSE,"grip_strength","biological"
"insomniaSometimes",0.22,FALSE,"insomnia","exposure"
"met_min_week_all",0.22,FALSE,"met_min_week_all","exposure"
"alcohol_consumptionDaily drinker",0.21,FALSE,"alcohol_consumption","exposure"
"alt",0.21,FALSE,"alt","biological"
"household_size2 people",0.21,FALSE,"household_size","exposure"
"bilirubin",0.2,FALSE,"bilirubin","biological"
"breastfedYes",0.2,FALSE,"breastfed","exposure"
"employmentRetired",0.2,FALSE,"employment","exposure"
"highest_qualificationVocational (NVQ/HND/HNC)",0.19,FALSE,"highest_qualification","exposure"
"household_income>100k",0.19,FALSE,"household_income","exposure"
"insomniaUsually",0.19,FALSE,"insomnia","exposure"
"employmentOther economically inactive",0.18,FALSE,"employment","exposure"
"salt_addedUsually",0.18,FALSE,"salt_added","exposure"
"heel_bone_density",0.16,FALSE,"heel_bone_density","biological"
"highest_qualificationProfessional (nursing/teaching)",0.16,FALSE,"highest_qualification","exposure"
"passive_catHigh",0.16,FALSE,"passive_cat","exposure"
"household_size6+ people",0.15,FALSE,"household_size","exposure"
"pm2.5_2010",0.15,FALSE,"pm2.5_2010","exposure"
"urban_rural_3lvlRural",0.15,FALSE,"urban_rural_3lvl","exposure"
"wbc",0.15,FALSE,"wbc","biological"
"apoa1",0.14,FALSE,"apoa1","biological"
"highest_qualificationUniversity degree",0.14,FALSE,"highest_qualification","exposure"
"household_size3-5 people",0.14,FALSE,"household_size","exposure"
"comparative_body_size_10Plumper",0.11,FALSE,"comparative_body_size_10","exposure"
"passive_catLow",0.11,FALSE,"passive_cat","exposure"
"sleep_catShort",0.1,FALSE,"sleep_cat","exposure"
"smoking_status_refinedCurrent",0.08,FALSE,"smoking_status_refined","exposure"
"ldl_direct",0.03,FALSE,"ldl_direct","biological"
