"household_income18-31k","household_income31-52k","household_income52-100k","household_income>100k","highest_qualificationCSEs","highest_qualificationO-levels/GCSEs","highest_qualificationProfessional (nursing/teaching)","highest_qualificationVocational (NVQ/HND/HNC)","highest_qualificationA-levels","highest_qualificationUniversity degree","employmentRetired","employmentOther economically inactive","employmentUnemployed","employmentUnable to work","housingRenter","housingOther","household_size2 people","household_size3-5 people","household_size6+ people","diet_score","alcohol_consumptionFormer drinker","alcohol_consumptionSocial drinker","alcohol_consumptionModerate drinker","alcohol_consumptionDaily drinker","salt_addedSometimes","salt_addedUsually","salt_addedAlways","sleep_hrs","sleep_catShort","sleep_catLong","insomniaSometimes","insomniaUsually","smoking_status_refinedFormer_Recent","smoking_status_refinedFormer_Long","smoking_status_refinedCurrent","pack_yrs","passive_total_hrs","passive_catLow","passive_catHigh","met_min_week_all","mh_sought_helpYes","work_job_satisfaction_num","neuroticism_score","breastfedYes","comparative_body_size_10About average","comparative_body_size_10Plumper","maternal_smoking_birthYes","birth_weight","no2_2010","pm2.5_2010","pm10_2010","urban_rural_3lvlTown","urban_rural_3lvlRural","dbp","grip_strength","whr","heel_bone_density","body_fat_mass","wbc","platelets","albumin","alp","alt","apoa1","apob","ast","bilirubin","total_cholesterol","creatinine","crp","cystatin_c","ggt","hba1c","hdl_cholesterol","ldl_direct","lpa","triglycerides","neutrophill_count","lymphocyte_count","monocyte_count"
0.5,0.4,0.61,0.31,0.46,0.67,0.24,0.28,0.45,0.17,0.34,0.26,0.88,0.78,0.86,0.39,0.34,0.2,0.21,0.48,0.74,0.48,0.59,0.27,0.85,0.25,0.41,0.34,0.22,0.36,0.33,0.34,0.41,0.91,0.18,0.4,0.59,0.16,0.23,0.41,0.4,0.49,0.47,0.29,0.76,0.13,0.48,0.33,0.67,0.25,0.36,0.46,0.23,0.73,0.35,0.78,0.26,0.46,0.18,0.61,0.44,0.63,0.29,0.22,0.44,0.51,0.16,0.48,0.33,0.71,0.32,0.41,0.65,0.33,0.03,0.36,0.97,0.57,0.38,0.62
0.5,0.39,0.61,0.31,0.46,0.67,0.24,0.28,0.44,0.17,0.34,0.25,0.88,0.78,0.85,0.39,0.33,0.19,0.21,0.48,0.74,0.48,0.59,0.27,0.85,0.25,0.41,0.33,0.22,0.36,0.33,0.31,0.41,0.91,0.17,0.4,0.59,0.16,0.23,0.4,0.39,0.48,0.47,0.29,0.76,0.13,0.48,0.33,0.67,0.24,0.36,0.46,0.23,0.72,0.34,0.78,0.25,0.46,0.18,0.61,0.43,0.63,0.29,0.22,0.44,0.51,0.16,0.48,0.32,0.71,0.32,0.4,0.65,0.33,0.03,0.36,0.97,0.57,0.37,0.6
0.47,0.39,0.61,0.3,0.46,0.66,0.23,0.28,0.43,0.17,0.34,0.25,0.88,0.78,0.85,0.39,0.33,0.19,0.21,0.48,0.74,0.48,0.59,0.27,0.85,0.24,0.4,0.33,0.22,0.36,0.32,0.3,0.41,0.91,0.17,0.4,0.59,0.15,0.21,0.4,0.39,0.48,0.47,0.29,0.75,0.13,0.48,0.33,0.66,0.24,0.35,0.46,0.23,0.69,0.34,0.76,0.25,0.43,0.18,0.61,0.42,0.63,0.29,0.22,0.43,0.51,0.16,0.47,0.32,0.71,0.3,0.4,0.64,0.33,0.03,0.36,0.97,0.56,0.37,0.59
0.47,0.38,0.59,0.3,0.45,0.64,0.23,0.28,0.43,0.17,0.33,0.25,0.88,0.78,0.85,0.39,0.31,0.19,0.21,0.47,0.74,0.48,0.58,0.27,0.85,0.24,0.4,0.33,0.21,0.36,0.32,0.3,0.41,0.91,0.17,0.4,0.58,0.15,0.21,0.39,0.39,0.47,0.47,0.29,0.75,0.13,0.47,0.33,0.64,0.23,0.35,0.46,0.23,0.68,0.32,0.75,0.24,0.43,0.18,0.61,0.4,0.62,0.29,0.22,0.43,0.5,0.16,0.46,0.32,0.71,0.3,0.4,0.64,0.33,0.03,0.36,0.97,0.56,0.36,0.59
0.47,0.37,0.58,0.3,0.44,0.64,0.22,0.27,0.42,0.17,0.32,0.25,0.88,0.78,0.85,0.39,0.3,0.19,0.21,0.47,0.74,0.47,0.56,0.27,0.85,0.24,0.4,0.32,0.2,0.35,0.31,0.3,0.4,0.91,0.16,0.4,0.57,0.15,0.2,0.39,0.39,0.47,0.47,0.28,0.73,0.13,0.46,0.33,0.63,0.22,0.35,0.45,0.23,0.67,0.32,0.73,0.23,0.43,0.18,0.61,0.4,0.6,0.28,0.21,0.43,0.49,0.16,0.46,0.32,0.71,0.3,0.38,0.64,0.33,0.03,0.36,0.97,0.56,0.36,0.57
0.47,0.37,0.58,0.29,0.43,0.64,0.21,0.26,0.42,0.17,0.32,0.25,0.88,0.77,0.85,0.39,0.3,0.19,0.2,0.47,0.74,0.47,0.56,0.27,0.85,0.23,0.4,0.32,0.2,0.35,0.3,0.29,0.39,0.91,0.16,0.39,0.56,0.15,0.19,0.39,0.39,0.46,0.46,0.27,0.73,0.13,0.45,0.33,0.62,0.22,0.35,0.45,0.22,0.67,0.32,0.73,0.23,0.41,0.17,0.61,0.39,0.6,0.28,0.2,0.43,0.47,0.16,0.45,0.32,0.71,0.3,0.38,0.63,0.32,0.03,0.36,0.97,0.55,0.36,0.56
0.47,0.37,0.58,0.28,0.43,0.64,0.21,0.26,0.42,0.17,0.32,0.24,0.88,0.77,0.85,0.39,0.3,0.19,0.2,0.47,0.74,0.46,0.56,0.27,0.84,0.23,0.4,0.32,0.18,0.35,0.3,0.28,0.38,0.91,0.15,0.38,0.55,0.15,0.19,0.38,0.38,0.46,0.45,0.26,0.73,0.13,0.44,0.33,0.62,0.22,0.34,0.44,0.21,0.67,0.31,0.73,0.23,0.41,0.17,0.61,0.38,0.6,0.26,0.2,0.41,0.46,0.16,0.45,0.32,0.71,0.29,0.38,0.63,0.31,0.03,0.36,0.97,0.55,0.36,0.56
0.47,0.35,0.56,0.28,0.43,0.64,0.21,0.26,0.41,0.17,0.32,0.24,0.88,0.77,0.85,0.37,0.29,0.19,0.2,0.47,0.72,0.46,0.56,0.27,0.84,0.22,0.39,0.32,0.17,0.35,0.29,0.28,0.37,0.91,0.15,0.38,0.54,0.14,0.19,0.37,0.37,0.44,0.44,0.26,0.73,0.13,0.43,0.33,0.62,0.22,0.34,0.44,0.21,0.66,0.31,0.73,0.23,0.41,0.17,0.61,0.38,0.59,0.26,0.2,0.41,0.46,0.17,0.45,0.32,0.71,0.29,0.38,0.63,0.3,0.03,0.36,0.97,0.54,0.36,0.54
0.46,0.35,0.55,0.27,0.4,0.62,0.21,0.25,0.4,0.17,0.32,0.24,0.88,0.77,0.85,0.36,0.28,0.18,0.2,0.47,0.72,0.46,0.56,0.27,0.84,0.22,0.39,0.32,0.17,0.35,0.29,0.28,0.36,0.9,0.14,0.38,0.53,0.14,0.18,0.37,0.37,0.43,0.43,0.25,0.73,0.13,0.43,0.33,0.61,0.22,0.34,0.43,0.21,0.65,0.31,0.73,0.22,0.4,0.17,0.61,0.38,0.59,0.26,0.2,0.4,0.45,0.17,0.44,0.32,0.71,0.29,0.38,0.63,0.3,0.03,0.36,0.97,0.53,0.36,0.53
0.46,0.35,0.55,0.27,0.4,0.61,0.21,0.25,0.4,0.17,0.32,0.24,0.88,0.77,0.84,0.36,0.28,0.18,0.19,0.47,0.72,0.45,0.56,0.27,0.83,0.21,0.36,0.3,0.17,0.35,0.29,0.28,0.35,0.9,0.13,0.38,0.53,0.13,0.18,0.35,0.37,0.43,0.43,0.25,0.73,0.13,0.42,0.33,0.6,0.22,0.33,0.41,0.21,0.65,0.3,0.7,0.22,0.39,0.17,0.6,0.38,0.59,0.25,0.19,0.39,0.45,0.17,0.44,0.32,0.71,0.29,0.37,0.62,0.3,0.03,0.36,0.97,0.53,0.36,0.51
0.45,0.35,0.55,0.27,0.39,0.6,0.2,0.24,0.39,0.16,0.31,0.24,0.88,0.77,0.84,0.36,0.28,0.18,0.19,0.47,0.72,0.44,0.54,0.27,0.83,0.21,0.35,0.3,0.17,0.35,0.29,0.27,0.34,0.9,0.13,0.38,0.53,0.13,0.18,0.34,0.37,0.43,0.43,0.25,0.73,0.13,0.41,0.3,0.6,0.22,0.33,0.4,0.21,0.65,0.3,0.7,0.2,0.39,0.17,0.59,0.38,0.59,0.25,0.19,0.39,0.44,0.17,0.44,0.32,0.71,0.29,0.37,0.59,0.3,0.03,0.36,0.97,0.52,0.36,0.51
0.45,0.35,0.54,0.25,0.39,0.6,0.2,0.24,0.39,0.16,0.31,0.24,0.88,0.77,0.84,0.36,0.28,0.17,0.18,0.46,0.72,0.43,0.54,0.27,0.81,0.21,0.34,0.3,0.16,0.35,0.29,0.27,0.34,0.9,0.12,0.38,0.53,0.13,0.18,0.34,0.37,0.43,0.43,0.25,0.73,0.13,0.41,0.3,0.6,0.22,0.33,0.4,0.2,0.65,0.3,0.7,0.2,0.39,0.17,0.59,0.38,0.59,0.24,0.19,0.39,0.44,0.17,0.44,0.32,0.71,0.29,0.37,0.59,0.29,0.03,0.36,0.97,0.51,0.36,0.5
0.45,0.34,0.54,0.25,0.38,0.6,0.19,0.22,0.39,0.16,0.29,0.24,0.88,0.77,0.83,0.36,0.27,0.17,0.18,0.46,0.71,0.43,0.54,0.26,0.81,0.21,0.34,0.28,0.16,0.35,0.29,0.27,0.33,0.89,0.11,0.38,0.53,0.13,0.18,0.34,0.37,0.42,0.42,0.24,0.73,0.13,0.41,0.29,0.59,0.22,0.33,0.39,0.2,0.65,0.3,0.7,0.19,0.39,0.17,0.58,0.37,0.59,0.24,0.18,0.39,0.43,0.17,0.44,0.32,0.71,0.29,0.35,0.59,0.28,0.03,0.36,0.97,0.51,0.34,0.5
0.45,0.33,0.52,0.22,0.38,0.6,0.19,0.21,0.39,0.16,0.27,0.24,0.88,0.77,0.82,0.35,0.25,0.17,0.17,0.46,0.71,0.42,0.54,0.26,0.8,0.2,0.33,0.28,0.15,0.35,0.29,0.26,0.33,0.89,0.1,0.36,0.53,0.13,0.18,0.33,0.36,0.42,0.42,0.24,0.72,0.13,0.4,0.29,0.56,0.22,0.3,0.39,0.19,0.65,0.29,0.7,0.19,0.37,0.17,0.58,0.37,0.59,0.24,0.18,0.39,0.41,0.17,0.44,0.32,0.71,0.29,0.35,0.59,0.28,0.03,0.36,0.97,0.51,0.34,0.5
0.44,0.33,0.51,0.22,0.38,0.59,0.19,0.21,0.39,0.16,0.26,0.22,0.88,0.77,0.82,0.34,0.25,0.17,0.17,0.45,0.71,0.42,0.53,0.24,0.79,0.19,0.33,0.28,0.14,0.35,0.28,0.25,0.32,0.88,0.1,0.36,0.52,0.13,0.18,0.32,0.36,0.42,0.39,0.24,0.71,0.13,0.4,0.29,0.55,0.22,0.3,0.39,0.19,0.65,0.27,0.7,0.19,0.34,0.16,0.58,0.36,0.58,0.24,0.17,0.39,0.41,0.17,0.43,0.31,0.71,0.28,0.33,0.59,0.28,0.03,0.35,0.97,0.5,0.34,0.48
0.43,0.32,0.51,0.21,0.38,0.59,0.19,0.21,0.39,0.16,0.26,0.22,0.88,0.76,0.82,0.33,0.24,0.17,0.17,0.45,0.7,0.42,0.52,0.24,0.79,0.19,0.33,0.28,0.13,0.34,0.27,0.25,0.31,0.88,0.1,0.36,0.52,0.13,0.18,0.3,0.36,0.41,0.37,0.23,0.7,0.13,0.4,0.28,0.55,0.22,0.28,0.39,0.17,0.65,0.26,0.69,0.18,0.34,0.16,0.58,0.36,0.58,0.24,0.16,0.39,0.4,0.17,0.43,0.31,0.72,0.28,0.32,0.59,0.28,0.03,0.35,0.97,0.48,0.34,0.48
0.42,0.32,0.5,0.2,0.38,0.59,0.18,0.2,0.39,0.16,0.25,0.2,0.88,0.76,0.82,0.33,0.24,0.17,0.17,0.45,0.7,0.42,0.52,0.24,0.78,0.19,0.33,0.27,0.13,0.33,0.26,0.24,0.31,0.88,0.1,0.35,0.52,0.13,0.18,0.3,0.36,0.41,0.37,0.23,0.69,0.13,0.39,0.27,0.55,0.21,0.27,0.37,0.17,0.64,0.26,0.69,0.18,0.34,0.16,0.58,0.35,0.58,0.24,0.16,0.38,0.39,0.17,0.42,0.31,0.72,0.27,0.32,0.59,0.27,0.03,0.35,0.97,0.47,0.34,0.48
0.42,0.32,0.5,0.2,0.38,0.59,0.18,0.2,0.38,0.16,0.25,0.2,0.88,0.76,0.82,0.32,0.24,0.17,0.17,0.45,0.7,0.42,0.52,0.24,0.78,0.18,0.33,0.27,0.13,0.33,0.25,0.24,0.31,0.87,0.1,0.34,0.52,0.13,0.18,0.3,0.36,0.4,0.36,0.22,0.69,0.13,0.39,0.27,0.55,0.2,0.27,0.37,0.17,0.63,0.26,0.69,0.17,0.32,0.16,0.58,0.35,0.58,0.24,0.16,0.37,0.39,0.17,0.42,0.31,0.72,0.27,0.31,0.58,0.27,0.03,0.35,0.97,0.47,0.34,0.48
0.42,0.32,0.49,0.19,0.37,0.59,0.18,0.2,0.38,0.15,0.25,0.2,0.88,0.76,0.82,0.32,0.24,0.17,0.17,0.45,0.7,0.41,0.52,0.23,0.78,0.18,0.33,0.27,0.13,0.32,0.25,0.23,0.3,0.86,0.1,0.33,0.52,0.13,0.17,0.28,0.35,0.4,0.34,0.22,0.68,0.13,0.39,0.27,0.55,0.19,0.27,0.37,0.17,0.63,0.25,0.68,0.17,0.31,0.16,0.58,0.34,0.58,0.24,0.15,0.36,0.39,0.17,0.42,0.31,0.72,0.27,0.3,0.58,0.27,0.03,0.35,0.97,0.45,0.32,0.47
0.4,0.31,0.49,0.19,0.36,0.58,0.18,0.2,0.38,0.15,0.24,0.2,0.88,0.75,0.81,0.31,0.24,0.16,0.17,0.44,0.7,0.41,0.51,0.23,0.78,0.18,0.33,0.27,0.13,0.32,0.25,0.23,0.29,0.85,0.09,0.33,0.52,0.12,0.16,0.28,0.34,0.39,0.32,0.22,0.68,0.13,0.39,0.26,0.54,0.16,0.26,0.36,0.17,0.62,0.25,0.68,0.17,0.31,0.15,0.58,0.33,0.58,0.24,0.15,0.36,0.39,0.17,0.42,0.31,0.72,0.26,0.3,0.58,0.27,0.03,0.35,0.97,0.45,0.32,0.46
0.4,0.31,0.49,0.19,0.35,0.58,0.18,0.2,0.37,0.15,0.24,0.19,0.87,0.75,0.81,0.31,0.23,0.16,0.16,0.44,0.7,0.41,0.5,0.23,0.78,0.18,0.33,0.27,0.13,0.31,0.25,0.22,0.29,0.85,0.09,0.32,0.52,0.11,0.16,0.28,0.33,0.39,0.31,0.21,0.68,0.12,0.38,0.26,0.52,0.16,0.26,0.36,0.17,0.62,0.24,0.68,0.16,0.31,0.15,0.56,0.31,0.57,0.23,0.15,0.36,0.39,0.17,0.41,0.31,0.72,0.26,0.3,0.58,0.27,0.03,0.35,0.97,0.44,0.32,0.45
0.4,0.31,0.49,0.19,0.35,0.58,0.18,0.2,0.37,0.15,0.23,0.18,0.87,0.74,0.81,0.3,0.22,0.15,0.16,0.44,0.69,0.41,0.5,0.22,0.78,0.18,0.32,0.27,0.13,0.31,0.25,0.22,0.29,0.84,0.09,0.32,0.52,0.11,0.16,0.25,0.33,0.39,0.31,0.21,0.67,0.12,0.38,0.25,0.51,0.16,0.25,0.36,0.17,0.62,0.24,0.67,0.16,0.3,0.15,0.55,0.31,0.56,0.23,0.15,0.36,0.38,0.18,0.41,0.3,0.72,0.26,0.3,0.57,0.27,0.03,0.35,0.97,0.44,0.32,0.44
0.39,0.31,0.47,0.19,0.33,0.57,0.18,0.2,0.36,0.14,0.23,0.18,0.86,0.74,0.81,0.3,0.22,0.14,0.16,0.43,0.68,0.41,0.5,0.22,0.78,0.18,0.32,0.27,0.11,0.31,0.25,0.22,0.29,0.84,0.09,0.32,0.52,0.11,0.16,0.24,0.33,0.38,0.31,0.21,0.65,0.12,0.38,0.25,0.49,0.16,0.25,0.34,0.17,0.62,0.24,0.67,0.16,0.3,0.15,0.55,0.3,0.55,0.22,0.14,0.36,0.37,0.18,0.41,0.3,0.72,0.26,0.3,0.57,0.27,0.03,0.35,0.97,0.44,0.32,0.43
0.39,0.3,0.47,0.19,0.33,0.57,0.18,0.19,0.36,0.14,0.21,0.18,0.86,0.71,0.81,0.29,0.22,0.14,0.15,0.41,0.68,0.41,0.5,0.22,0.78,0.18,0.32,0.27,0.11,0.31,0.25,0.21,0.29,0.84,0.09,0.31,0.51,0.11,0.16,0.23,0.31,0.38,0.31,0.21,0.63,0.12,0.38,0.25,0.48,0.16,0.25,0.34,0.17,0.61,0.24,0.67,0.16,0.29,0.15,0.54,0.29,0.55,0.22,0.14,0.36,0.37,0.19,0.41,0.3,0.72,0.26,0.28,0.57,0.27,0.03,0.35,0.97,0.44,0.32,0.43
0.39,0.3,0.47,0.19,0.33,0.57,0.17,0.19,0.35,0.14,0.21,0.18,0.86,0.71,0.81,0.28,0.22,0.14,0.15,0.41,0.67,0.41,0.5,0.22,0.78,0.18,0.32,0.27,0.11,0.3,0.24,0.2,0.28,0.84,0.08,0.31,0.51,0.11,0.16,0.22,0.31,0.37,0.31,0.21,0.63,0.11,0.38,0.25,0.47,0.16,0.25,0.33,0.16,0.61,0.23,0.67,0.16,0.29,0.15,0.54,0.29,0.55,0.22,0.14,0.34,0.37,0.2,0.4,0.29,0.73,0.25,0.28,0.57,0.27,0.03,0.34,0.97,0.43,0.31,0.42
0.39,0.3,0.47,0.19,0.33,0.57,0.17,0.19,0.35,0.14,0.21,0.18,0.86,0.71,0.8,0.28,0.21,0.14,0.15,0.41,0.66,0.41,0.49,0.21,0.78,0.18,0.31,0.27,0.1,0.28,0.23,0.19,0.27,0.84,0.08,0.31,0.51,0.11,0.16,0.22,0.3,0.37,0.31,0.2,0.62,0.11,0.38,0.25,0.47,0.15,0.25,0.32,0.16,0.59,0.23,0.67,0.16,0.28,0.15,0.54,0.29,0.54,0.22,0.14,0.34,0.37,0.2,0.4,0.29,0.73,0.25,0.28,0.56,0.24,0.03,0.34,0.97,0.42,0.31,0.41
0.38,0.3,0.47,0.19,0.33,0.56,0.16,0.19,0.35,0.14,0.2,0.18,0.86,0.71,0.8,0.28,0.21,0.14,0.15,0.41,0.66,0.41,0.49,0.21,0.78,0.18,0.31,0.26,0.1,0.28,0.22,0.19,0.26,0.84,0.08,0.31,0.5,0.11,0.16,0.22,0.3,0.37,0.31,0.2,0.62,0.11,0.38,0.25,0.47,0.15,0.25,0.32,0.15,0.59,0.22,0.67,0.16,0.26,0.15,0.53,0.29,0.52,0.21,0.14,0.34,0.37,0.2,0.4,0.28,0.73,0.25,0.28,0.56,0.24,0.03,0.34,0.96,0.41,0.3,0.41
0.38,0.3,0.47,0.19,0.33,0.54,0.15,0.18,0.34,0.14,0.2,0.18,0.86,0.71,0.8,0.28,0.21,0.14,0.15,0.41,0.65,0.41,0.49,0.21,0.78,0.18,0.31,0.26,0.09,0.28,0.22,0.19,0.25,0.84,0.08,0.31,0.5,0.11,0.16,0.21,0.29,0.36,0.31,0.2,0.62,0.1,0.38,0.24,0.46,0.13,0.25,0.31,0.15,0.57,0.22,0.67,0.16,0.26,0.15,0.53,0.29,0.51,0.21,0.14,0.34,0.37,0.2,0.4,0.28,0.73,0.25,0.28,0.56,0.24,0.03,0.34,0.96,0.4,0.3,0.41
0.38,0.29,0.47,0.19,0.31,0.52,0.15,0.18,0.33,0.14,0.2,0.18,0.86,0.71,0.8,0.28,0.21,0.14,0.15,0.41,0.64,0.4,0.48,0.21,0.78,0.18,0.29,0.26,0.09,0.28,0.21,0.19,0.25,0.84,0.08,0.31,0.5,0.11,0.16,0.2,0.29,0.36,0.31,0.19,0.61,0.1,0.37,0.24,0.46,0.12,0.25,0.31,0.15,0.57,0.2,0.67,0.16,0.26,0.14,0.51,0.28,0.51,0.21,0.14,0.34,0.36,0.2,0.4,0.28,0.73,0.25,0.28,0.56,0.23,0.03,0.34,0.96,0.39,0.3,0.41
0.38,0.28,0.47,0.19,0.31,0.52,0.15,0.18,0.32,0.14,0.2,0.17,0.86,0.7,0.8,0.28,0.21,0.14,0.15,0.41,0.62,0.4,0.48,0.21,0.78,0.17,0.28,0.25,0.09,0.27,0.21,0.19,0.24,0.84,0.08,0.3,0.5,0.11,0.16,0.19,0.29,0.36,0.31,0.18,0.61,0.1,0.36,0.24,0.45,0.12,0.24,0.31,0.15,0.57,0.2,0.67,0.16,0.26,0.14,0.5,0.28,0.51,0.2,0.14,0.34,0.36,0.2,0.4,0.27,0.73,0.25,0.28,0.55,0.23,0.02,0.34,0.96,0.37,0.28,0.41
0.38,0.28,0.46,0.18,0.31,0.52,0.15,0.18,0.32,0.14,0.2,0.17,0.85,0.69,0.78,0.25,0.21,0.14,0.15,0.41,0.62,0.4,0.48,0.21,0.78,0.17,0.28,0.24,0.09,0.27,0.21,0.19,0.24,0.84,0.06,0.3,0.5,0.11,0.16,0.19,0.28,0.36,0.31,0.18,0.6,0.1,0.36,0.24,0.45,0.12,0.23,0.31,0.14,0.57,0.2,0.67,0.15,0.26,0.14,0.5,0.27,0.51,0.2,0.14,0.34,0.36,0.2,0.39,0.27,0.73,0.25,0.28,0.54,0.23,0.02,0.34,0.96,0.36,0.28,0.41
0.37,0.27,0.45,0.18,0.31,0.52,0.15,0.18,0.31,0.14,0.19,0.17,0.85,0.68,0.78,0.25,0.2,0.14,0.13,0.41,0.61,0.4,0.48,0.21,0.78,0.16,0.27,0.23,0.09,0.26,0.21,0.19,0.24,0.84,0.06,0.29,0.5,0.11,0.16,0.18,0.27,0.36,0.31,0.17,0.6,0.1,0.36,0.23,0.43,0.11,0.23,0.31,0.14,0.55,0.2,0.67,0.14,0.26,0.14,0.5,0.26,0.51,0.2,0.13,0.33,0.36,0.2,0.39,0.26,0.73,0.25,0.28,0.53,0.23,0.02,0.34,0.96,0.34,0.27,0.4
0.37,0.26,0.43,0.18,0.31,0.52,0.15,0.18,0.31,0.14,0.19,0.16,0.84,0.68,0.78,0.25,0.2,0.14,0.13,0.41,0.61,0.4,0.47,0.21,0.78,0.16,0.27,0.23,0.09,0.26,0.21,0.19,0.24,0.84,0.05,0.29,0.5,0.1,0.16,0.16,0.27,0.35,0.31,0.17,0.6,0.1,0.36,0.23,0.42,0.1,0.23,0.31,0.14,0.55,0.19,0.66,0.14,0.26,0.14,0.5,0.26,0.51,0.2,0.12,0.33,0.36,0.2,0.39,0.26,0.73,0.25,0.28,0.53,0.22,0.02,0.34,0.96,0.34,0.27,0.4
0.36,0.26,0.42,0.17,0.3,0.52,0.14,0.18,0.31,0.14,0.17,0.16,0.84,0.68,0.78,0.25,0.2,0.14,0.13,0.4,0.6,0.39,0.47,0.21,0.77,0.15,0.27,0.23,0.09,0.26,0.21,0.19,0.24,0.84,0.05,0.28,0.5,0.1,0.15,0.16,0.27,0.34,0.31,0.17,0.6,0.09,0.36,0.23,0.42,0.08,0.23,0.31,0.14,0.55,0.18,0.65,0.13,0.26,0.14,0.49,0.26,0.5,0.2,0.12,0.33,0.36,0.2,0.39,0.26,0.73,0.25,0.27,0.53,0.21,0.02,0.34,0.96,0.34,0.26,0.4
