"feature","selection_proportion","selected","source_variable","group"
"triglycerides",0.79,TRUE,"triglycerides","biological"
"employmentUnemployed",0.73,TRUE,"employment","exposure"
"smoking_status_refinedFormer_Long",0.73,TRUE,"smoking_status_refined","exposure"
"crp",0.72,TRUE,"crp","biological"
"housingRenter",0.52,FALSE,"housing","exposure"
"salt_addedSometimes",0.48,FALSE,"salt_added","exposure"
"employmentUnable to work",0.42,FALSE,"employment","exposure"
"comparative_body_size_10About average",0.36,FALSE,"comparative_body_size_10","exposure"
"whr",0.33,FALSE,"whr","biological"
"alcohol_consumptionFormer drinker",0.3,FALSE,"alcohol_consumption","exposure"
"alp",0.29,FALSE,"alp","biological"
"hba1c",0.29,FALSE,"hba1c","biological"
"alcohol_consumptionModerate drinker",0.27,FALSE,"alcohol_consumption","exposure"
"dbp",0.27,FALSE,"dbp","biological"
"lpa",0.27,FALSE,"lpa","biological"
"highest_qualificationO-levels/GCSEs",0.26,FALSE,"highest_qualification","exposure"
"passive_total_hrs",0.22,FALSE,"passive_total_hrs","exposure"
"ast",0.2,FALSE,"ast","biological"
"bilirubin",0.2,FALSE,"bilirubin","biological"
"monocyte_count",0.2,FALSE,"monocyte_count","biological"
"total_cholesterol",0.2,FALSE,"total_cholesterol","biological"
"urban_rural_3lvlTown",0.18,FALSE,"urban_rural_3lvl","exposure"
"no2_2010",0.17,FALSE,"no2_2010","exposure"
"platelets",0.17,FALSE,"platelets","biological"
"household_income52-100k",0.16,FALSE,"household_income","exposure"
"maternal_smoking_birthYes",0.16,FALSE,"maternal_smoking_birth","exposure"
"alcohol_consumptionSocial drinker",0.15,FALSE,"alcohol_consumption","exposure"
"household_income18-31k",0.15,FALSE,"household_income","exposure"
"sleep_hrs",0.15,FALSE,"sleep_hrs","exposure"
"work_job_satisfaction_num",0.15,FALSE,"work_job_satisfaction_num","exposure"
"apob",0.12,FALSE,"apob","biological"
"ggt",0.12,FALSE,"ggt","biological"
"cystatin_c",0.11,FALSE,"cystatin_c","biological"
"highest_qualificationCSEs",0.11,FALSE,"highest_qualification","exposure"
"neuroticism_score",0.11,FALSE,"neuroticism_score","exposure"
"creatinine",0.1,FALSE,"creatinine","biological"
"household_income31-52k",0.1,FALSE,"household_income","exposure"
"housingOther",0.1,FALSE,"housing","exposure"
"body_fat_mass",0.09,FALSE,"body_fat_mass","biological"
"diet_score",0.09,FALSE,"diet_score","exposure"
"highest_qualificationA-levels",0.08,FALSE,"highest_qualification","exposure"
"neutrophill_count",0.08,FALSE,"neutrophill_count","biological"
"alcohol_consumptionDaily drinker",0.07,FALSE,"alcohol_consumption","exposure"
"alt",0.07,FALSE,"alt","biological"
"birth_weight",0.07,FALSE,"birth_weight","exposure"
"employmentRetired",0.07,FALSE,"employment","exposure"
"household_size6+ people",0.07,FALSE,"household_size","exposure"
"insomniaUsually",0.07,FALSE,"insomnia","exposure"
"mh_sought_helpYes",0.07,FALSE,"mh_sought_help","exposure"
"smoking_status_refinedFormer_Recent",0.07,FALSE,"smoking_status_refined","exposure"
"albumin",0.06,FALSE,"albumin","biological"
"breastfedYes",0.06,FALSE,"breastfed","exposure"
"grip_strength",0.06,FALSE,"grip_strength","biological"
"hdl_cholesterol",0.06,FALSE,"hdl_cholesterol","biological"
"household_size3-5 people",0.06,FALSE,"household_size","exposure"
"lymphocyte_count",0.06,FALSE,"lymphocyte_count","biological"
"salt_addedAlways",0.06,FALSE,"salt_added","exposure"
"wbc",0.06,FALSE,"wbc","biological"
"household_size2 people",0.05,FALSE,"household_size","exposure"
"pack_yrs",0.05,FALSE,"pack_yrs","exposure"
"pm10_2010",0.05,FALSE,"pm10_2010","exposure"
"apoa1",0.04,FALSE,"apoa1","biological"
"employmentOther economically inactive",0.04,FALSE,"employment","exposure"
"highest_qualificationVocational (NVQ/HND/HNC)",0.04,FALSE,"highest_qualification","exposure"
"met_min_week_all",0.04,FALSE,"met_min_week_all","exposure"
"salt_addedUsually",0.04,FALSE,"salt_added","exposure"
"comparative_body_size_10Plumper",0.03,FALSE,"comparative_body_size_10","exposure"
"heel_bone_density",0.03,FALSE,"heel_bone_density","biological"
"highest_qualificationUniversity degree",0.03,FALSE,"highest_qualification","exposure"
"smoking_status_refinedCurrent",0.03,FALSE,"smoking_status_refined","exposure"
"highest_qualificationProfessional (nursing/teaching)",0.02,FALSE,"highest_qualification","exposure"
"insomniaSometimes",0.02,FALSE,"insomnia","exposure"
"pm2.5_2010",0.02,FALSE,"pm2.5_2010","exposure"
"urban_rural_3lvlRural",0.02,FALSE,"urban_rural_3lvl","exposure"
"household_income>100k",0.01,FALSE,"household_income","exposure"
"ldl_direct",0,FALSE,"ldl_direct","biological"
