"household_income18-31k","household_income31-52k","household_income52-100k","household_income>100k","highest_qualificationCSEs","highest_qualificationO-levels/GCSEs","highest_qualificationProfessional (nursing/teaching)","highest_qualificationVocational (NVQ/HND/HNC)","highest_qualificationA-levels","highest_qualificationUniversity degree","employmentRetired","employmentOther economically inactive","employmentUnemployed","employmentUnable to work","housingRenter","housingOther","household_size2 people","household_size3-5 people","household_size6+ people","diet_score","alcohol_consumptionFormer drinker","alcohol_consumptionSocial drinker","alcohol_consumptionModerate drinker","alcohol_consumptionDaily drinker","salt_addedSometimes","salt_addedUsually","salt_addedAlways","sleep_hrs","insomniaSometimes","insomniaUsually","smoking_status_refinedFormer_Recent","smoking_status_refinedFormer_Long","smoking_status_refinedCurrent","pack_yrs","passive_total_hrs","met_min_week_all","mh_sought_helpYes","work_job_satisfaction_num","neuroticism_score","breastfedYes","comparative_body_size_10About average","comparative_body_size_10Plumper","maternal_smoking_birthYes","birth_weight","no2_2010","pm2.5_2010","pm10_2010","urban_rural_3lvlTown","urban_rural_3lvlRural","dbp","grip_strength","whr","heel_bone_density","body_fat_mass","wbc","platelets","albumin","alp","alt","apoa1","apob","ast","bilirubin","total_cholesterol","creatinine","crp","cystatin_c","ggt","hba1c","hdl_cholesterol","ldl_direct","lpa","triglycerides","neutrophill_count","lymphocyte_count","monocyte_count"
0.26,0.19,0.34,0.07,0.22,0.46,0.1,0.12,0.19,0.1,0.12,0.08,0.81,0.55,0.72,0.16,0.16,0.11,0.1,0.25,0.46,0.31,0.42,0.13,0.7,0.09,0.18,0.3,0.1,0.14,0.14,0.81,0.04,0.16,0.38,0.1,0.18,0.26,0.23,0.11,0.54,0.07,0.29,0.16,0.33,0.07,0.17,0.27,0.08,0.48,0.11,0.6,0.05,0.2,0.12,0.29,0.21,0.46,0.11,0.07,0.19,0.31,0.17,0.33,0.16,0.71,0.21,0.19,0.49,0.13,0,0.32,0.94,0.24,0.14,0.31
0.26,0.19,0.33,0.07,0.22,0.46,0.1,0.11,0.19,0.1,0.11,0.08,0.81,0.55,0.72,0.16,0.15,0.11,0.1,0.22,0.45,0.31,0.42,0.13,0.7,0.09,0.18,0.3,0.1,0.14,0.13,0.81,0.04,0.16,0.37,0.08,0.18,0.25,0.22,0.11,0.54,0.07,0.29,0.16,0.33,0.07,0.17,0.27,0.07,0.48,0.11,0.57,0.05,0.19,0.12,0.29,0.19,0.46,0.1,0.07,0.19,0.31,0.17,0.33,0.14,0.71,0.2,0.18,0.47,0.12,0,0.32,0.93,0.23,0.14,0.29
0.26,0.19,0.32,0.07,0.22,0.44,0.1,0.1,0.19,0.1,0.11,0.08,0.81,0.55,0.72,0.16,0.14,0.1,0.1,0.22,0.45,0.31,0.42,0.13,0.69,0.09,0.17,0.29,0.09,0.14,0.13,0.81,0.04,0.15,0.37,0.08,0.17,0.25,0.21,0.1,0.54,0.07,0.28,0.16,0.33,0.07,0.15,0.26,0.06,0.48,0.11,0.57,0.04,0.19,0.12,0.28,0.19,0.46,0.1,0.07,0.19,0.31,0.17,0.33,0.14,0.71,0.19,0.17,0.47,0.12,0,0.32,0.93,0.22,0.14,0.29
0.26,0.18,0.31,0.06,0.22,0.44,0.09,0.09,0.19,0.09,0.11,0.08,0.81,0.54,0.7,0.15,0.14,0.1,0.1,0.22,0.45,0.29,0.41,0.13,0.67,0.09,0.17,0.28,0.09,0.13,0.12,0.81,0.04,0.15,0.36,0.07,0.17,0.25,0.2,0.1,0.54,0.07,0.26,0.16,0.32,0.07,0.14,0.26,0.06,0.47,0.11,0.57,0.04,0.18,0.12,0.28,0.19,0.46,0.1,0.07,0.19,0.3,0.17,0.33,0.14,0.71,0.19,0.17,0.47,0.12,0,0.32,0.93,0.22,0.14,0.29
0.26,0.18,0.3,0.05,0.22,0.43,0.08,0.09,0.19,0.09,0.11,0.08,0.81,0.54,0.7,0.15,0.13,0.09,0.1,0.22,0.45,0.29,0.4,0.13,0.66,0.09,0.17,0.28,0.09,0.11,0.12,0.81,0.04,0.15,0.35,0.07,0.17,0.24,0.19,0.1,0.53,0.07,0.25,0.15,0.32,0.06,0.13,0.26,0.06,0.46,0.1,0.57,0.04,0.18,0.12,0.28,0.18,0.46,0.1,0.07,0.18,0.3,0.17,0.33,0.14,0.71,0.19,0.17,0.47,0.11,0,0.32,0.92,0.22,0.14,0.29
0.26,0.18,0.3,0.05,0.22,0.43,0.07,0.08,0.19,0.09,0.11,0.08,0.81,0.54,0.69,0.15,0.13,0.09,0.09,0.21,0.45,0.27,0.4,0.13,0.66,0.09,0.15,0.28,0.09,0.11,0.11,0.81,0.04,0.15,0.33,0.07,0.17,0.24,0.19,0.1,0.53,0.06,0.25,0.15,0.31,0.06,0.13,0.26,0.06,0.45,0.1,0.56,0.04,0.17,0.12,0.28,0.18,0.46,0.09,0.06,0.18,0.3,0.17,0.32,0.14,0.71,0.19,0.17,0.47,0.11,0,0.32,0.92,0.22,0.14,0.29
0.25,0.18,0.3,0.05,0.21,0.43,0.07,0.08,0.19,0.08,0.11,0.07,0.81,0.53,0.69,0.14,0.13,0.09,0.09,0.21,0.45,0.27,0.39,0.13,0.65,0.09,0.14,0.28,0.08,0.11,0.11,0.81,0.04,0.14,0.33,0.07,0.15,0.23,0.19,0.1,0.52,0.06,0.25,0.15,0.31,0.06,0.13,0.26,0.06,0.45,0.08,0.56,0.04,0.17,0.12,0.27,0.18,0.44,0.09,0.06,0.18,0.3,0.17,0.32,0.14,0.71,0.18,0.17,0.47,0.1,0,0.32,0.92,0.2,0.14,0.29
0.25,0.18,0.3,0.05,0.21,0.43,0.07,0.07,0.18,0.08,0.1,0.07,0.8,0.53,0.69,0.14,0.12,0.09,0.09,0.2,0.44,0.27,0.39,0.13,0.65,0.09,0.14,0.28,0.07,0.1,0.11,0.81,0.04,0.14,0.33,0.07,0.15,0.23,0.19,0.1,0.52,0.05,0.25,0.14,0.31,0.04,0.13,0.26,0.06,0.44,0.08,0.54,0.04,0.17,0.12,0.27,0.17,0.43,0.09,0.06,0.17,0.3,0.17,0.32,0.14,0.71,0.18,0.16,0.46,0.1,0,0.32,0.92,0.18,0.14,0.29
0.25,0.17,0.3,0.05,0.2,0.42,0.07,0.07,0.18,0.08,0.1,0.07,0.8,0.53,0.68,0.14,0.12,0.09,0.09,0.19,0.44,0.27,0.38,0.13,0.65,0.09,0.14,0.27,0.07,0.1,0.11,0.81,0.04,0.14,0.33,0.07,0.15,0.22,0.18,0.09,0.51,0.05,0.25,0.14,0.31,0.04,0.13,0.26,0.06,0.44,0.08,0.53,0.04,0.17,0.12,0.27,0.17,0.43,0.09,0.06,0.16,0.3,0.17,0.3,0.14,0.71,0.17,0.16,0.46,0.09,0,0.32,0.92,0.17,0.14,0.29
0.25,0.17,0.29,0.05,0.18,0.41,0.07,0.06,0.18,0.08,0.1,0.07,0.79,0.53,0.68,0.14,0.11,0.09,0.09,0.18,0.44,0.26,0.38,0.13,0.65,0.09,0.14,0.27,0.06,0.1,0.11,0.81,0.04,0.13,0.33,0.07,0.15,0.21,0.16,0.09,0.51,0.05,0.25,0.14,0.31,0.04,0.13,0.26,0.06,0.43,0.08,0.53,0.04,0.17,0.12,0.27,0.17,0.42,0.09,0.06,0.15,0.3,0.17,0.29,0.14,0.71,0.17,0.16,0.46,0.09,0,0.32,0.92,0.17,0.14,0.29
