"source_variable","group","max_selection_proportion","selected"
"crp","biological",0.73,TRUE
"triglycerides","biological",0.72,TRUE
"employment","exposure",0.67,TRUE
"smoking_status_refined","exposure",0.67,TRUE
"housing","exposure",0.45,FALSE
"salt_added","exposure",0.41,FALSE
"bilirubin","biological",0.28,FALSE
"whr","biological",0.28,FALSE
"comparative_body_size_10","exposure",0.28,FALSE
"hba1c","biological",0.25,FALSE
"lpa","biological",0.25,FALSE
"alp","biological",0.24,FALSE
"alcohol_consumption","exposure",0.22,FALSE
"highest_qualification","exposure",0.21,FALSE
"dbp","biological",0.2,FALSE
"urban_rural_3lvl","exposure",0.17,FALSE
"total_cholesterol","biological",0.15,FALSE
"maternal_smoking_birth","exposure",0.14,FALSE
"no2_2010","exposure",0.14,FALSE
"passive_total_hrs","exposure",0.14,FALSE
"monocyte_count","biological",0.12,FALSE
"household_income","exposure",0.12,FALSE
"sleep_cat","exposure",0.12,FALSE
"ast","biological",0.11,FALSE
"ggt","biological",0.1,FALSE
"platelets","biological",0.1,FALSE
"sleep_hrs","exposure",0.1,FALSE
"work_job_satisfaction_num","exposure",0.09,FALSE
"creatinine","biological",0.08,FALSE
"cystatin_c","biological",0.08,FALSE
"neuroticism_score","exposure",0.08,FALSE
"apob","biological",0.07,FALSE
"neutrophill_count","biological",0.07,FALSE
"diet_score","exposure",0.07,FALSE
"insomnia","exposure",0.07,FALSE
"body_fat_mass","biological",0.06,FALSE
"hdl_cholesterol","biological",0.06,FALSE
"wbc","biological",0.06,FALSE
"birth_weight","exposure",0.06,FALSE
"household_size","exposure",0.06,FALSE
"alt","biological",0.05,FALSE
"lymphocyte_count","biological",0.05,FALSE
"albumin","biological",0.04,FALSE
"grip_strength","biological",0.04,FALSE
"breastfed","exposure",0.04,FALSE
"met_min_week_all","exposure",0.04,FALSE
"passive_cat","exposure",0.04,FALSE
"pm10_2010","exposure",0.04,FALSE
"apoa1","biological",0.03,FALSE
"mh_sought_help","exposure",0.03,FALSE
"pack_yrs","exposure",0.02,FALSE
"heel_bone_density","biological",0.01,FALSE
"pm2.5_2010","exposure",0.01,FALSE
"ldl_direct","biological",0,FALSE
