"feature","selection_proportion","selected","source_variable","group"
"crp",0.73,TRUE,"crp","biological"
"triglycerides",0.72,TRUE,"triglycerides","biological"
"employmentUnemployed",0.67,TRUE,"employment","exposure"
"smoking_status_refinedFormer_Long",0.67,TRUE,"smoking_status_refined","exposure"
"housingRenter",0.45,FALSE,"housing","exposure"
"salt_addedSometimes",0.41,FALSE,"salt_added","exposure"
"employmentUnable to work",0.35,FALSE,"employment","exposure"
"bilirubin",0.28,FALSE,"bilirubin","biological"
"comparative_body_size_10About average",0.28,FALSE,"comparative_body_size_10","exposure"
"whr",0.28,FALSE,"whr","biological"
"hba1c",0.25,FALSE,"hba1c","biological"
"lpa",0.25,FALSE,"lpa","biological"
"alp",0.24,FALSE,"alp","biological"
"alcohol_consumptionFormer drinker",0.22,FALSE,"alcohol_consumption","exposure"
"highest_qualificationO-levels/GCSEs",0.21,FALSE,"highest_qualification","exposure"
"dbp",0.2,FALSE,"dbp","biological"
"alcohol_consumptionModerate drinker",0.19,FALSE,"alcohol_consumption","exposure"
"urban_rural_3lvlTown",0.17,FALSE,"urban_rural_3lvl","exposure"
"total_cholesterol",0.15,FALSE,"total_cholesterol","biological"
"maternal_smoking_birthYes",0.14,FALSE,"maternal_smoking_birth","exposure"
"no2_2010",0.14,FALSE,"no2_2010","exposure"
"passive_total_hrs",0.14,FALSE,"passive_total_hrs","exposure"
"alcohol_consumptionSocial drinker",0.13,FALSE,"alcohol_consumption","exposure"
"household_income18-31k",0.12,FALSE,"household_income","exposure"
"household_income52-100k",0.12,FALSE,"household_income","exposure"
"monocyte_count",0.12,FALSE,"monocyte_count","biological"
"sleep_catLong",0.12,FALSE,"sleep_cat","exposure"
"ast",0.11,FALSE,"ast","biological"
"ggt",0.1,FALSE,"ggt","biological"
"platelets",0.1,FALSE,"platelets","biological"
"sleep_hrs",0.1,FALSE,"sleep_hrs","exposure"
"work_job_satisfaction_num",0.09,FALSE,"work_job_satisfaction_num","exposure"
"creatinine",0.08,FALSE,"creatinine","biological"
"cystatin_c",0.08,FALSE,"cystatin_c","biological"
"neuroticism_score",0.08,FALSE,"neuroticism_score","exposure"
"apob",0.07,FALSE,"apob","biological"
"diet_score",0.07,FALSE,"diet_score","exposure"
"highest_qualificationCSEs",0.07,FALSE,"highest_qualification","exposure"
"household_income31-52k",0.07,FALSE,"household_income","exposure"
"housingOther",0.07,FALSE,"housing","exposure"
"insomniaUsually",0.07,FALSE,"insomnia","exposure"
"neutrophill_count",0.07,FALSE,"neutrophill_count","biological"
"smoking_status_refinedFormer_Recent",0.07,FALSE,"smoking_status_refined","exposure"
"alcohol_consumptionDaily drinker",0.06,FALSE,"alcohol_consumption","exposure"
"birth_weight",0.06,FALSE,"birth_weight","exposure"
"body_fat_mass",0.06,FALSE,"body_fat_mass","biological"
"hdl_cholesterol",0.06,FALSE,"hdl_cholesterol","biological"
"highest_qualificationA-levels",0.06,FALSE,"highest_qualification","exposure"
"household_size3-5 people",0.06,FALSE,"household_size","exposure"
"household_size6+ people",0.06,FALSE,"household_size","exposure"
"wbc",0.06,FALSE,"wbc","biological"
"alt",0.05,FALSE,"alt","biological"
"employmentRetired",0.05,FALSE,"employment","exposure"
"lymphocyte_count",0.05,FALSE,"lymphocyte_count","biological"
"albumin",0.04,FALSE,"albumin","biological"
"breastfedYes",0.04,FALSE,"breastfed","exposure"
"employmentOther economically inactive",0.04,FALSE,"employment","exposure"
"grip_strength",0.04,FALSE,"grip_strength","biological"
"highest_qualificationVocational (NVQ/HND/HNC)",0.04,FALSE,"highest_qualification","exposure"
"met_min_week_all",0.04,FALSE,"met_min_week_all","exposure"
"passive_catHigh",0.04,FALSE,"passive_cat","exposure"
"pm10_2010",0.04,FALSE,"pm10_2010","exposure"
"salt_addedAlways",0.04,FALSE,"salt_added","exposure"
"apoa1",0.03,FALSE,"apoa1","biological"
"mh_sought_helpYes",0.03,FALSE,"mh_sought_help","exposure"
"comparative_body_size_10Plumper",0.02,FALSE,"comparative_body_size_10","exposure"
"highest_qualificationProfessional (nursing/teaching)",0.02,FALSE,"highest_qualification","exposure"
"highest_qualificationUniversity degree",0.02,FALSE,"highest_qualification","exposure"
"household_size2 people",0.02,FALSE,"household_size","exposure"
"pack_yrs",0.02,FALSE,"pack_yrs","exposure"
"sleep_catShort",0.02,FALSE,"sleep_cat","exposure"
"smoking_status_refinedCurrent",0.02,FALSE,"smoking_status_refined","exposure"
"urban_rural_3lvlRural",0.02,FALSE,"urban_rural_3lvl","exposure"
"heel_bone_density",0.01,FALSE,"heel_bone_density","biological"
"insomniaSometimes",0.01,FALSE,"insomnia","exposure"
"pm2.5_2010",0.01,FALSE,"pm2.5_2010","exposure"
"salt_addedUsually",0.01,FALSE,"salt_added","exposure"
"household_income>100k",0,FALSE,"household_income","exposure"
"ldl_direct",0,FALSE,"ldl_direct","biological"
"passive_catLow",0,FALSE,"passive_cat","exposure"
