"household_income18-31k","household_income31-52k","household_income52-100k","household_income>100k","highest_qualificationCSEs","highest_qualificationO-levels/GCSEs","highest_qualificationProfessional (nursing/teaching)","highest_qualificationVocational (NVQ/HND/HNC)","highest_qualificationA-levels","highest_qualificationUniversity degree","employmentRetired","employmentOther economically inactive","employmentUnemployed","employmentUnable to work","housingRenter","housingOther","household_size2 people","household_size3-5 people","household_size6+ people","diet_score","alcohol_consumptionFormer drinker","alcohol_consumptionSocial drinker","alcohol_consumptionModerate drinker","alcohol_consumptionDaily drinker","salt_addedSometimes","salt_addedUsually","salt_addedAlways","sleep_hrs","sleep_catShort","sleep_catLong","insomniaSometimes","insomniaUsually","smoking_status_refinedFormer_Recent","smoking_status_refinedFormer_Long","smoking_status_refinedCurrent","pack_yrs","passive_total_hrs","passive_catLow","passive_catHigh","met_min_week_all","mh_sought_helpYes","work_job_satisfaction_num","neuroticism_score","breastfedYes","comparative_body_size_10About average","comparative_body_size_10Plumper","maternal_smoking_birthYes","birth_weight","no2_2010","pm2.5_2010","pm10_2010","urban_rural_3lvlTown","urban_rural_3lvlRural","dbp","grip_strength","whr","heel_bone_density","body_fat_mass","wbc","platelets","albumin","alp","alt","apoa1","apob","ast","bilirubin","total_cholesterol","creatinine","crp","cystatin_c","ggt","hba1c","hdl_cholesterol","ldl_direct","lpa","triglycerides","neutrophill_count","lymphocyte_count","monocyte_count"
0.01,0,0,0,0,0.01,0,0,0,0,0,0,0.24,0.15,0.08,0,0,0,0.01,0,0.02,0,0,0,0.04,0,0,0,0,0.01,0,0,0,0.17,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0.01,0,0,0.02,0,0.01,0,0.02,0,0,0,0.01,0,0.02,0.01,0,0.02,0,0.11,0.01,0,0.34,0,0.02,0.03,0,0,0.13,0.34,0,0,0.01
0.01,0,0,0,0.01,0.01,0,0,0,0,0,0,0.26,0.16,0.12,0,0,0,0.01,0,0.04,0.01,0.01,0,0.07,0,0,0,0,0.01,0,0,0,0.17,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0.02,0,0,0.03,0,0.01,0,0.02,0,0,0.01,0.01,0,0.03,0.01,0,0.02,0,0.12,0.01,0,0.37,0,0.02,0.04,0,0,0.13,0.34,0,0.01,0.01
0.01,0,0.01,0,0.01,0.03,0,0,0,0,0,0,0.3,0.17,0.12,0,0,0,0.01,0,0.04,0.01,0.03,0,0.08,0,0,0,0,0.01,0,0,0,0.22,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0.01,0.02,0,0,0.03,0,0.02,0.01,0.03,0,0,0.01,0.01,0,0.04,0.01,0,0.02,0,0.13,0.01,0.01,0.42,0,0.02,0.04,0,0,0.15,0.41,0,0.01,0.01
0.01,0,0.01,0,0.01,0.03,0,0,0,0,0,0,0.34,0.18,0.13,0,0,0,0.01,0,0.04,0.01,0.03,0,0.09,0,0,0.02,0,0.02,0,0,0,0.23,0,0,0.02,0,0.01,0,0,0,0,0,0.08,0,0,0.01,0.02,0,0,0.03,0,0.02,0.01,0.04,0,0,0.01,0.01,0,0.05,0.01,0,0.02,0,0.15,0.01,0.01,0.43,0,0.02,0.06,0,0,0.17,0.46,0,0.01,0.01
0.03,0,0.01,0,0.01,0.03,0,0,0,0,0.01,0,0.37,0.18,0.17,0,0,0.01,0.01,0,0.06,0.03,0.04,0,0.11,0,0,0.02,0,0.03,0,0,0,0.27,0,0,0.02,0,0.01,0,0,0,0,0,0.1,0,0,0.01,0.03,0,0,0.03,0,0.02,0.01,0.05,0,0,0.01,0.01,0,0.08,0.01,0,0.02,0,0.19,0.03,0.01,0.46,0,0.03,0.06,0,0,0.17,0.49,0.01,0.01,0.01
0.03,0,0.01,0,0.01,0.03,0,0,0,0,0.01,0,0.41,0.21,0.19,0,0,0.01,0.01,0.01,0.06,0.04,0.07,0.01,0.13,0.01,0,0.02,0,0.03,0,0,0,0.31,0,0,0.02,0,0.01,0.01,0.01,0,0,0,0.13,0,0.02,0.01,0.03,0,0,0.03,0,0.02,0.01,0.05,0,0.01,0.01,0.03,0,0.08,0.02,0,0.02,0.01,0.22,0.05,0.01,0.49,0.02,0.04,0.07,0,0,0.19,0.51,0.01,0.01,0.01
0.03,0.01,0.01,0,0.01,0.03,0,0,0,0,0.01,0.01,0.43,0.23,0.24,0,0,0.01,0.01,0.02,0.08,0.06,0.08,0.01,0.15,0.01,0,0.02,0,0.04,0,0,0.01,0.37,0,0,0.04,0,0.01,0.01,0.02,0,0.01,0,0.14,0,0.02,0.02,0.03,0,0,0.05,0,0.02,0.02,0.07,0,0.03,0.02,0.03,0,0.08,0.03,0,0.02,0.01,0.22,0.05,0.01,0.51,0.03,0.04,0.1,0,0,0.2,0.54,0.01,0.01,0.02
0.03,0.01,0.01,0,0.01,0.04,0,0,0,0,0.01,0.01,0.46,0.24,0.28,0,0,0.01,0.01,0.02,0.09,0.06,0.09,0.01,0.16,0.01,0,0.02,0,0.05,0,0,0.01,0.42,0,0,0.04,0,0.01,0.01,0.02,0,0.02,0,0.16,0,0.03,0.02,0.04,0,0,0.05,0.01,0.02,0.02,0.11,0,0.03,0.02,0.03,0,0.08,0.03,0,0.03,0.01,0.22,0.06,0.02,0.51,0.03,0.05,0.11,0.01,0,0.2,0.55,0.02,0.02,0.03
0.06,0.01,0.03,0,0.02,0.07,0,0,0,0,0.01,0.01,0.48,0.26,0.29,0.02,0,0.01,0.01,0.02,0.09,0.06,0.09,0.01,0.19,0.01,0,0.02,0,0.07,0,0.01,0.01,0.45,0,0,0.05,0,0.01,0.01,0.03,0.01,0.02,0,0.19,0,0.03,0.02,0.06,0,0,0.08,0.01,0.06,0.03,0.12,0,0.04,0.02,0.04,0,0.14,0.03,0,0.02,0.02,0.25,0.08,0.03,0.57,0.05,0.05,0.12,0.02,0,0.22,0.58,0.02,0.02,0.06
0.06,0.03,0.05,0,0.03,0.08,0.01,0.01,0.01,0,0.01,0.01,0.52,0.28,0.33,0.02,0,0.02,0.02,0.03,0.14,0.08,0.11,0.02,0.23,0.01,0,0.03,0.01,0.07,0,0.01,0.02,0.46,0,0.01,0.05,0,0.01,0.01,0.03,0.02,0.02,0,0.2,0,0.05,0.02,0.08,0,0,0.1,0.01,0.08,0.03,0.16,0.01,0.04,0.03,0.06,0,0.16,0.04,0,0.04,0.02,0.26,0.09,0.05,0.58,0.05,0.07,0.14,0.03,0,0.22,0.61,0.03,0.02,0.06
