"feature","selection_proportion"
"household_income18-31k",0.16
"household_income31-52k",0.11
"household_income52-100k",0.17
"household_income>100k",0.01
"highest_qualificationCSEs",0.11
"highest_qualificationO-levels/GCSEs",0.27
"highest_qualificationProfessional (nursing/teaching)",0.03
"highest_qualificationVocational (NVQ/HND/HNC)",0.04
"highest_qualificationA-levels",0.08
"highest_qualificationUniversity degree",0.03
"employmentRetired",0.07
"employmentOther economically inactive",0.04
"employmentUnemployed",0.74
"employmentUnable to work",0.42
"housingRenter",0.53
"housingOther",0.1
"household_size2 people",0.06
"household_size3-5 people",0.07
"household_size6+ people",0.07
"diet_score",0.09
"alcohol_consumptionFormer drinker",0.32
"alcohol_consumptionSocial drinker",0.18
"alcohol_consumptionModerate drinker",0.27
"alcohol_consumptionDaily drinker",0.08
"salt_addedSometimes",0.5
"salt_addedUsually",0.04
"salt_addedAlways",0.06
"sleep_hrs",0.16
"insomniaSometimes",0.02
"insomniaUsually",0.07
"smoking_status_refinedFormer_Recent",0.08
"smoking_status_refinedFormer_Long",0.74
"smoking_status_refinedCurrent",0.03
"pack_yrs",0.06
"passive_total_hrs",0.22
"met_min_week_all",0.04
"mh_sought_helpYes",0.07
"work_job_satisfaction_num",0.15
"neuroticism_score",0.12
"breastfedYes",0.06
"comparative_body_size_10About average",0.36
"comparative_body_size_10Plumper",0.03
"maternal_smoking_birthYes",0.17
"birth_weight",0.09
"no2_2010",0.19
"pm2.5_2010",0.03
"pm10_2010",0.05
"urban_rural_3lvlTown",0.19
"urban_rural_3lvlRural",0.03
"dbp",0.28
"grip_strength",0.06
"whr",0.34
"heel_bone_density",0.03
"body_fat_mass",0.09
"wbc",0.06
"platelets",0.18
"albumin",0.06
"alp",0.31
"alt",0.07
"apoa1",0.04
"apob",0.13
"ast",0.2
"bilirubin",0.31
"total_cholesterol",0.2
"creatinine",0.1
"crp",0.76
"cystatin_c",0.13
"ggt",0.12
"hba1c",0.3
"hdl_cholesterol",0.07
"ldl_direct",0
"lpa",0.28
"triglycerides",0.8
"neutrophill_count",0.08
"lymphocyte_count",0.06
"monocyte_count",0.2
