"feature","selection_proportion","selected","source_variable","group"
"triglycerides",0.8,TRUE,"triglycerides","biological"
"crp",0.76,TRUE,"crp","biological"
"employmentUnemployed",0.74,TRUE,"employment","exposure"
"smoking_status_refinedFormer_Long",0.74,TRUE,"smoking_status_refined","exposure"
"housingRenter",0.53,FALSE,"housing","exposure"
"salt_addedSometimes",0.5,FALSE,"salt_added","exposure"
"employmentUnable to work",0.42,FALSE,"employment","exposure"
"comparative_body_size_10About average",0.36,FALSE,"comparative_body_size_10","exposure"
"whr",0.34,FALSE,"whr","biological"
"alcohol_consumptionFormer drinker",0.32,FALSE,"alcohol_consumption","exposure"
"alp",0.31,FALSE,"alp","biological"
"bilirubin",0.31,FALSE,"bilirubin","biological"
"hba1c",0.3,FALSE,"hba1c","biological"
"dbp",0.28,FALSE,"dbp","biological"
"lpa",0.28,FALSE,"lpa","biological"
"alcohol_consumptionModerate drinker",0.27,FALSE,"alcohol_consumption","exposure"
"highest_qualificationO-levels/GCSEs",0.27,FALSE,"highest_qualification","exposure"
"passive_total_hrs",0.22,FALSE,"passive_total_hrs","exposure"
"ast",0.2,FALSE,"ast","biological"
"monocyte_count",0.2,FALSE,"monocyte_count","biological"
"total_cholesterol",0.2,FALSE,"total_cholesterol","biological"
"no2_2010",0.19,FALSE,"no2_2010","exposure"
"urban_rural_3lvlTown",0.19,FALSE,"urban_rural_3lvl","exposure"
"alcohol_consumptionSocial drinker",0.18,FALSE,"alcohol_consumption","exposure"
"platelets",0.18,FALSE,"platelets","biological"
"household_income52-100k",0.17,FALSE,"household_income","exposure"
"maternal_smoking_birthYes",0.17,FALSE,"maternal_smoking_birth","exposure"
"household_income18-31k",0.16,FALSE,"household_income","exposure"
"sleep_hrs",0.16,FALSE,"sleep_hrs","exposure"
"work_job_satisfaction_num",0.15,FALSE,"work_job_satisfaction_num","exposure"
"apob",0.13,FALSE,"apob","biological"
"cystatin_c",0.13,FALSE,"cystatin_c","biological"
"ggt",0.12,FALSE,"ggt","biological"
"neuroticism_score",0.12,FALSE,"neuroticism_score","exposure"
"highest_qualificationCSEs",0.11,FALSE,"highest_qualification","exposure"
"household_income31-52k",0.11,FALSE,"household_income","exposure"
"creatinine",0.1,FALSE,"creatinine","biological"
"housingOther",0.1,FALSE,"housing","exposure"
"birth_weight",0.09,FALSE,"birth_weight","exposure"
"body_fat_mass",0.09,FALSE,"body_fat_mass","biological"
"diet_score",0.09,FALSE,"diet_score","exposure"
"alcohol_consumptionDaily drinker",0.08,FALSE,"alcohol_consumption","exposure"
"highest_qualificationA-levels",0.08,FALSE,"highest_qualification","exposure"
"neutrophill_count",0.08,FALSE,"neutrophill_count","biological"
"smoking_status_refinedFormer_Recent",0.08,FALSE,"smoking_status_refined","exposure"
"alt",0.07,FALSE,"alt","biological"
"employmentRetired",0.07,FALSE,"employment","exposure"
"hdl_cholesterol",0.07,FALSE,"hdl_cholesterol","biological"
"household_size3-5 people",0.07,FALSE,"household_size","exposure"
"household_size6+ people",0.07,FALSE,"household_size","exposure"
"insomniaUsually",0.07,FALSE,"insomnia","exposure"
"mh_sought_helpYes",0.07,FALSE,"mh_sought_help","exposure"
"albumin",0.06,FALSE,"albumin","biological"
"breastfedYes",0.06,FALSE,"breastfed","exposure"
"grip_strength",0.06,FALSE,"grip_strength","biological"
"household_size2 people",0.06,FALSE,"household_size","exposure"
"lymphocyte_count",0.06,FALSE,"lymphocyte_count","biological"
"pack_yrs",0.06,FALSE,"pack_yrs","exposure"
"salt_addedAlways",0.06,FALSE,"salt_added","exposure"
"wbc",0.06,FALSE,"wbc","biological"
"pm10_2010",0.05,FALSE,"pm10_2010","exposure"
"apoa1",0.04,FALSE,"apoa1","biological"
"employmentOther economically inactive",0.04,FALSE,"employment","exposure"
"highest_qualificationVocational (NVQ/HND/HNC)",0.04,FALSE,"highest_qualification","exposure"
"met_min_week_all",0.04,FALSE,"met_min_week_all","exposure"
"salt_addedUsually",0.04,FALSE,"salt_added","exposure"
"comparative_body_size_10Plumper",0.03,FALSE,"comparative_body_size_10","exposure"
"heel_bone_density",0.03,FALSE,"heel_bone_density","biological"
"highest_qualificationProfessional (nursing/teaching)",0.03,FALSE,"highest_qualification","exposure"
"highest_qualificationUniversity degree",0.03,FALSE,"highest_qualification","exposure"
"pm2.5_2010",0.03,FALSE,"pm2.5_2010","exposure"
"smoking_status_refinedCurrent",0.03,FALSE,"smoking_status_refined","exposure"
"urban_rural_3lvlRural",0.03,FALSE,"urban_rural_3lvl","exposure"
"insomniaSometimes",0.02,FALSE,"insomnia","exposure"
"household_income>100k",0.01,FALSE,"household_income","exposure"
"ldl_direct",0,FALSE,"ldl_direct","biological"
