"source_variable","group","max_selection_proportion","selected"
"triglycerides","biological",0.77,TRUE
"smoking_status_refined","exposure",0.71,TRUE
"crp","biological",0.7,TRUE
"employment","exposure",0.7,TRUE
"housing","exposure",0.5,FALSE
"salt_added","exposure",0.45,FALSE
"comparative_body_size_10","exposure",0.34,FALSE
"whr","biological",0.33,FALSE
"alp","biological",0.27,FALSE
"alcohol_consumption","exposure",0.27,FALSE
"hba1c","biological",0.26,FALSE
"highest_qualification","exposure",0.26,FALSE
"lpa","biological",0.25,FALSE
"dbp","biological",0.23,FALSE
"bilirubin","biological",0.21,FALSE
"passive_total_hrs","exposure",0.2,FALSE
"monocyte_count","biological",0.18,FALSE
"total_cholesterol","biological",0.18,FALSE
"urban_rural_3lvl","exposure",0.18,FALSE
"ast","biological",0.17,FALSE
"household_income","exposure",0.15,FALSE
"maternal_smoking_birth","exposure",0.15,FALSE
"no2_2010","exposure",0.15,FALSE
"sleep_hrs","exposure",0.15,FALSE
"platelets","biological",0.14,FALSE
"work_job_satisfaction_num","exposure",0.13,FALSE
"ggt","biological",0.11,FALSE
"cystatin_c","biological",0.1,FALSE
"neuroticism_score","exposure",0.1,FALSE
"apob","biological",0.09,FALSE
"creatinine","biological",0.08,FALSE
"diet_score","exposure",0.08,FALSE
"alt","biological",0.07,FALSE
"body_fat_mass","biological",0.07,FALSE
"neutrophill_count","biological",0.07,FALSE
"household_size","exposure",0.07,FALSE
"insomnia","exposure",0.07,FALSE
"grip_strength","biological",0.06,FALSE
"hdl_cholesterol","biological",0.06,FALSE
"lymphocyte_count","biological",0.06,FALSE
"wbc","biological",0.06,FALSE
"birth_weight","exposure",0.06,FALSE
"breastfed","exposure",0.06,FALSE
"albumin","biological",0.05,FALSE
"mh_sought_help","exposure",0.05,FALSE
"pack_yrs","exposure",0.05,FALSE
"met_min_week_all","exposure",0.04,FALSE
"pm10_2010","exposure",0.04,FALSE
"apoa1","biological",0.03,FALSE
"pm2.5_2010","exposure",0.02,FALSE
"heel_bone_density","biological",0.01,FALSE
"ldl_direct","biological",0,FALSE
