"feature","selection_proportion","selected","source_variable","group"
"triglycerides",0.77,TRUE,"triglycerides","biological"
"smoking_status_refinedFormer_Long",0.71,TRUE,"smoking_status_refined","exposure"
"crp",0.7,TRUE,"crp","biological"
"employmentUnemployed",0.7,TRUE,"employment","exposure"
"housingRenter",0.5,FALSE,"housing","exposure"
"salt_addedSometimes",0.45,FALSE,"salt_added","exposure"
"employmentUnable to work",0.37,FALSE,"employment","exposure"
"comparative_body_size_10About average",0.34,FALSE,"comparative_body_size_10","exposure"
"whr",0.33,FALSE,"whr","biological"
"alcohol_consumptionFormer drinker",0.27,FALSE,"alcohol_consumption","exposure"
"alp",0.27,FALSE,"alp","biological"
"hba1c",0.26,FALSE,"hba1c","biological"
"highest_qualificationO-levels/GCSEs",0.26,FALSE,"highest_qualification","exposure"
"lpa",0.25,FALSE,"lpa","biological"
"alcohol_consumptionModerate drinker",0.24,FALSE,"alcohol_consumption","exposure"
"dbp",0.23,FALSE,"dbp","biological"
"bilirubin",0.21,FALSE,"bilirubin","biological"
"passive_total_hrs",0.2,FALSE,"passive_total_hrs","exposure"
"monocyte_count",0.18,FALSE,"monocyte_count","biological"
"total_cholesterol",0.18,FALSE,"total_cholesterol","biological"
"urban_rural_3lvlTown",0.18,FALSE,"urban_rural_3lvl","exposure"
"ast",0.17,FALSE,"ast","biological"
"household_income52-100k",0.15,FALSE,"household_income","exposure"
"maternal_smoking_birthYes",0.15,FALSE,"maternal_smoking_birth","exposure"
"no2_2010",0.15,FALSE,"no2_2010","exposure"
"sleep_hrs",0.15,FALSE,"sleep_hrs","exposure"
"alcohol_consumptionSocial drinker",0.14,FALSE,"alcohol_consumption","exposure"
"platelets",0.14,FALSE,"platelets","biological"
"household_income18-31k",0.13,FALSE,"household_income","exposure"
"work_job_satisfaction_num",0.13,FALSE,"work_job_satisfaction_num","exposure"
"ggt",0.11,FALSE,"ggt","biological"
"cystatin_c",0.1,FALSE,"cystatin_c","biological"
"household_income31-52k",0.1,FALSE,"household_income","exposure"
"housingOther",0.1,FALSE,"housing","exposure"
"neuroticism_score",0.1,FALSE,"neuroticism_score","exposure"
"apob",0.09,FALSE,"apob","biological"
"creatinine",0.08,FALSE,"creatinine","biological"
"diet_score",0.08,FALSE,"diet_score","exposure"
"highest_qualificationA-levels",0.08,FALSE,"highest_qualification","exposure"
"highest_qualificationCSEs",0.08,FALSE,"highest_qualification","exposure"
"alcohol_consumptionDaily drinker",0.07,FALSE,"alcohol_consumption","exposure"
"alt",0.07,FALSE,"alt","biological"
"body_fat_mass",0.07,FALSE,"body_fat_mass","biological"
"employmentRetired",0.07,FALSE,"employment","exposure"
"household_size6+ people",0.07,FALSE,"household_size","exposure"
"insomniaUsually",0.07,FALSE,"insomnia","exposure"
"neutrophill_count",0.07,FALSE,"neutrophill_count","biological"
"smoking_status_refinedFormer_Recent",0.07,FALSE,"smoking_status_refined","exposure"
"birth_weight",0.06,FALSE,"birth_weight","exposure"
"breastfedYes",0.06,FALSE,"breastfed","exposure"
"grip_strength",0.06,FALSE,"grip_strength","biological"
"hdl_cholesterol",0.06,FALSE,"hdl_cholesterol","biological"
"household_size3-5 people",0.06,FALSE,"household_size","exposure"
"lymphocyte_count",0.06,FALSE,"lymphocyte_count","biological"
"salt_addedAlways",0.06,FALSE,"salt_added","exposure"
"wbc",0.06,FALSE,"wbc","biological"
"albumin",0.05,FALSE,"albumin","biological"
"household_size2 people",0.05,FALSE,"household_size","exposure"
"mh_sought_helpYes",0.05,FALSE,"mh_sought_help","exposure"
"pack_yrs",0.05,FALSE,"pack_yrs","exposure"
"employmentOther economically inactive",0.04,FALSE,"employment","exposure"
"highest_qualificationVocational (NVQ/HND/HNC)",0.04,FALSE,"highest_qualification","exposure"
"met_min_week_all",0.04,FALSE,"met_min_week_all","exposure"
"pm10_2010",0.04,FALSE,"pm10_2010","exposure"
"apoa1",0.03,FALSE,"apoa1","biological"
"comparative_body_size_10Plumper",0.03,FALSE,"comparative_body_size_10","exposure"
"highest_qualificationUniversity degree",0.03,FALSE,"highest_qualification","exposure"
"salt_addedUsually",0.03,FALSE,"salt_added","exposure"
"highest_qualificationProfessional (nursing/teaching)",0.02,FALSE,"highest_qualification","exposure"
"insomniaSometimes",0.02,FALSE,"insomnia","exposure"
"pm2.5_2010",0.02,FALSE,"pm2.5_2010","exposure"
"smoking_status_refinedCurrent",0.02,FALSE,"smoking_status_refined","exposure"
"urban_rural_3lvlRural",0.02,FALSE,"urban_rural_3lvl","exposure"
"heel_bone_density",0.01,FALSE,"heel_bone_density","biological"
"household_income>100k",0.01,FALSE,"household_income","exposure"
"ldl_direct",0,FALSE,"ldl_direct","biological"
