"exposure","level","mediator","a_coef","b_coef","ab","ci_lower","ci_upper","significant"
"alcohol_consumption","alcohol_consumptionDaily drinker","hba1c",0.112596055736473,-0.00121611247180292,-0.000136929467656942,-0.000589040056670344,8.39030564734047e-05,FALSE
"alcohol_consumption","alcohol_consumptionFormer drinker","hba1c",0.220777811473804,-0.00121611247180292,-0.000268490650030647,-0.000944496452510323,0.000113534189001802,FALSE
"alcohol_consumption","alcohol_consumptionModerate drinker","hba1c",0.0563319173127572,-0.00121611247180292,-6.85059472046151e-05,-0.000464832402320692,0.000266774192789494,FALSE
"alcohol_consumption","alcohol_consumptionSocial drinker","hba1c",0.0767562982428886,-0.00121611247180292,-9.33442915826016e-05,-0.000545002430255531,0.000203633862323743,FALSE
"diet_score","diet_score","crp",-0.00577547954020813,0.0119225291408311,-6.88583231204055e-05,-0.000167661167841645,0.000102410089740593,FALSE
"diet_score","diet_score","hba1c",0.00462372455768798,-0.00121611247180292,-5.62296910078581e-06,-5.00519902644071e-05,1.42228526340748e-05,FALSE
"diet_score","diet_score","hdl_cholesterol",-0.000168630841874967,-0.0010690041653021,1.80267072362739e-07,-2.47938050366239e-05,1.58534593318468e-05,FALSE
"met_min_week_all","met_min_week_all","hdl_cholesterol",-8.04781942074761e-07,-0.0010690041653021,8.60315248237832e-10,-2.02388782788291e-08,1.13827570069017e-08,FALSE
"smoking_status_refined","smoking_status_refinedCurrent","crp",-0.00762052809391671,0.0119225291408311,-9.08559682682443e-05,-0.000512119657940242,0.000656204962942587,FALSE
"smoking_status_refined","smoking_status_refinedFormer_Long","crp",0.0023513470772441,0.0119225291408311,2.80340040486508e-05,-0.00037567673128176,0.000751325315357842,FALSE
"smoking_status_refined","smoking_status_refinedFormer_Recent","crp",0.011284794771547,0.0119225291408311,0.000134543294512068,-0.000377929431485742,0.00102032613842022,FALSE
