variable,category
recruitment_date,study_design
age,demographic
death_date,outcomes
sex,demographic
ethnicity,demographic
household_income,socioeconomic
highest_qualification,socioeconomic
employment,socioeconomic
housing,socioeconomic
household_size,socioeconomic
has_vehicle,socioeconomic
sbp,physical_measures
dbp,physical_measures
grip_strength,physical_measures
whr,physical_measures
heel_bone_density,physical_measures
body_fat_mass,physical_measures
diet_score,lifestyle
alcohol_consumption,lifestyle
salt_added,lifestyle
sleep_hrs,lifestyle
sleep_cat,lifestyle
insomnia,lifestyle
snoring,lifestyle
smoking_status_refined,lifestyle
pack_yrs,lifestyle
passive_cat,lifestyle
passive_total_hrs,lifestyle
met_min_week_all,lifestyle
long_ill,clinical_history
diabetes_doctor_diagnosed,clinical_history
serious_dx,clinical_history
age_diabetes_dx,clinical_history
age_high_bp_dx,clinical_history
early_insulin,clinical_history
pregnancy,clinical_history
angina_dx_age,clinical_history
mi_dx_age,clinical_history
dvt_dx_age,clinical_history
pe_dx_age,clinical_history
stroke_dx_age,clinical_history
heart_problems_collapsed,clinical_history
meds_chol_bp_diabetes_collapsed,clinical_history
meds_chol_bp_diabetes_hormone_collapsed,clinical_history
n_previous_pregnancies_collapsed,clinical_history
mh_sought_help,clinical_history
work_job_satisfaction_num,socioeconomic
neuroticism_score,mental_health
breastfed,early_life
comparative_body_size_10,early_life
maternal_smoking_birth,early_life
birth_weight,early_life
no2_2010,environment
pm2.5_2010,environment
pm10_2010,environment
urban_rural_3lvl,environment
wbc,biomarkers
platelets,biomarkers
albumin,biomarkers
alp,biomarkers
alt,biomarkers
apoa1,biomarkers
apob,biomarkers
ast,biomarkers
bilirubin,biomarkers
total_cholesterol,biomarkers
creatinine,biomarkers
crp,biomarkers
ggt,biomarkers
hba1c,biomarkers
hdl_cholesterol,biomarkers
ldl_direct,biomarkers
lpa,biomarkers
triglycerides,biomarkers
first_cvd_date,outcomes
has_cvd,outcomes
cystatin_c,biomarkers
lymphocyte_count,biomarkers
monocyte_count,biomarkers
neutrophill_count,biomarkers
