variable,n_missing,pct_missing
death_date,533800,94.14312647594659
first_cvd_date,505881,89.21921874255965
serious_dx,246220,43.42435481623748
comparative_body_size_10,245524,43.30160544188893
long_ill,231037,40.74661954219422
maternal_smoking_birth,198579,35.02219541488759
smoking_status_refined,196860,34.7190256239319
breastfed,195453,34.470881414580724
mh_sought_help,190151,33.535799255391005
household_income,188469,33.23915493404866
crp,159778,28.17909415899924
diabetes_doctor_diagnosed,146888,25.905761636940507
ggt,125221,22.084481904167305
diet_score,119937,21.15257429776247
lpa,116226,20.49808733194711
